,Avg_Height,Avg_Experience
south dakota state,6-6,2.2
south florida,6-6,1.7
southeast missouri state,6-4,1.7
southeastern louisiana,6-3,1.6
southern,6-5,1.5
southern illinois,6-3,1.3
southern mississippi,6-3,0.6
southern utah,1.5,5.5
st bonaventure,6-5,1.9
st francis ny,6-3,1.5
saint francis pa,6-3,1.1
st johns ny,6-6,0.6
stanford,6-6,1.6
stephen f austin,6-3,1.1
stetson,6-5,2.1
stony brook,6-4,1.7
syracuse,6-7,1.7
texas christian,6-5,1.2
temple,6-6,2.5
tennessee,6-5,1.6
tennessee martin,6-5,0.7
tennessee state,6-5,2.2
tennessee tech,6-4,1.7
texas,6-5,0.4
texas am,6-5,1.5
texas am corpus christi,6-3,0.5
texas southern,6-2,1.8
texas state,6-5,1.0
texas tech,6-5,0.5
citadel,6-4,0.9
toledo,6-4,1.6
towson,6-6,1.2
troy,6-4,0.4
tulane,6-4,2.0
tulsa,6-4,1.1
alabama birmingham,6-5,1.7
california davis,6-4,1.6
california irvine,6-4,2.1
california riverside,6-5,1.0
california santa barbara,6-4,0.9
central florida,6-6,1.6
ucla,6-6,1.1
maryland baltimore county,6-4,1.5
missouri kansas city,6-5,1.2
north carolina asheville,6-5,1.1
north carolina greensboro,6-4,1.6
north carolina wilmington,6-5,1.5
nevada las vegas,6-6,1.5
southern california,6-5,1.9
south carolina upstate,6-5,1.5
texas arlington,6-4,1.8
texas pan american,6-3,1.3
utah,6-4,1.4
utah state,6-5,0.7
utah valley,6-5,1.3
texas el paso,6-6,1.4
texas san antonio,6-3,1.1
valparaiso,6-4,2.8
vanderbilt,6-6,1.0
virginia commonwealth,6-5,1.7
vermont,6-5,1.8
villanova,6-6,1.3
virginia,6-6,1.2
virginia tech,6-6,1.6
virginia military institute,6-4,1.7
wagner,1.5,4.3
wake forest,6-5,0.9
washington,6-6,1.7
washington state,6-7,1.6
weber state,6-5,1.3
west virginia,6-5,1.3
western carolina,6-4,1.5
western illinois,6-5,1.4
western kentucky,6-4,1.2
western michigan,6-6,1.6
wichita state,6-5,1.1
william mary,6-5,1.8
winthrop,6-5,1.4
wisconsin,6-5,1.8
wofford,6-5,0.8
wright state,6-4,1.1
wyoming,6-4,1.0
xavier,6-5,1.7
yale,6-5,1.5
youngstown state,6-4,1.4
