,Avg_Height,Avg_Experience
air force,6-5,2.2
akron,6-6,1.7
alabama,6-5,1.2
alabama am,6-3,1.4
alabama state,6-3,1.1
albany-ny,6-4,2.0
alcorn state,6-5,0.8
american,6-5,2.2
appalachian state,6-5,1.3
arizona,6-6,1.6
arizona state,6-5,1.4
arkansas,6-5,1.3
arkansas little rock,6-4,0.6
arkansas pine bluff,6-4,1.0
arkansas state,6-3,1.6
army,6-5,1.0
auburn,6-5,2.0
austin peay,6-5,1.2
ball state,6-5,1.5
baylor,6-5,1.2
belmont,6-4,2.3
bethune cookman,6-2,1.7
binghamton,6-4,1.8
boise state,6-5,1.2
boston college,6-6,0.8
boston university,6-4,1.1
bowling green-state,6-3,2.0
bradley,6-5,2.1
brown,6-6,1.5
bryant,6-4,1.8
bucknell,6-5,2.1
buffalo,6-5,1.6
butler,6-5,1.7
brigham young,6-6,1.4
cal poly,6-4,1.6
cal state bakersfield,6-3,1.3
cal state fullerton,6-3,1.5
cal state northridge,6-4,0.7
california,6-6,1.6
campbell,6-4,1.0
canisius,6-4,1.8
central arkansas,6-5,1.1
central connecticut state,1.0,0.4
central michigan,6-4,1.0
charleston southern,6-3,1.4
charlotte,6-6,1.0
chattanooga,6-5,1.0
chicago state,6-4,0.6
cincinnati,6-5,1.6
clemson,6-5,1.3
cleveland state,6-4,1.2
coastal carolina,6-5,1.1
colgate,6-5,1.8
college of charleston,6-5,1.6
colorado,6-6,1.1
colorado state,6-5,2.3
columbia,6-5,1.4
connecticut,1.4,8.0
coppin state,6-4,0.8
cornell,6-5,1.7
creighton,6-5,2.0
dartmouth,6-4,0.6
davidson,6-6,2.3
dayton,6-5,1.5
delaware,6-4,1.8
delaware state,6-5,1.3
denver,6-5,1.3
depaul,6-5,1.6
detroit-mercy,6-5,1.5
drake,6-5,1.6
drexel,1.9,4.7
duke,6-6,1.8
duquesne,6-4,1.2
east carolina,6-5,1.9
east tennessee state,6-4,0.7
eastern illinois,6-4,0.8
eastern kentucky,6-3,1.1
eastern michigan,6-6,1.9
eastern washington,6-4,1.1
elon,6-5,1.6
evansville,6-4,1.9
fairfield,6-3,1.7
fairleigh dickinson,6-4,1.2
florida international,6-4,0.6
florida,6-5,2.2
florida am,6-4,0.5
florida atlantic,6-4,1.6
florida gulf coast,6-5,1.6
florida state,6-7,1.2
fordham,6-4,0.9
fresno state,6-5,1.3
furman,6-5,1.6
gardner webb,6-4,1.1
george mason,6-5,1.5
george washington,6-6,1.2
georgetown,6-6,1.2
georgia,6-6,1.2
georgia southern,6-5,1.8
georgia state,6-5,1.4
georgia tech,6-6,1.3
gonzaga,6-6,1.7
grambling,6-4,0.9
green bay,6-5,1.0
hampton,6-4,0.8
hartford,6-4,1.1
harvard,6-5,1.3
hawaii,6-6,1.4
high point,6-5,0.7
hofstra,6-4,1.5
holy cross,6-5,1.8
houston,6-5,0.7
houston baptist,6-3,0.8
howard,6-5,2.0
idaho,6-5,1.4
idaho state,6-4,0.7
illinois,6-6,2.3
illinois chicago,6-5,1.8
illinois state,6-5,1.6
indiana,6-6,1.7
indiana state,6-6,1.2
iona,6-4,1.4
iowa,6-6,1.2
iowa state,6-5,1.7
ipfw,6-4,1.2
iupui,6-4,2.1
jackson state,6-3,1.7
jacksonville,6-3,1.2
jacksonville state,6-3,1.2
james madison,1.4,6.0
kansas,6-6,1.9
kansas state,6-4,2.0
kennesaw state,6-4,1.2
kent state,6-5,1.5
kentucky,6-6,0.9
la salle,6-4,1.7
lafayette,6-5,1.4
lamar,6-3,1.1
lehigh,6-4,2.0
liberty,0.8,2.9
lipscomb,6-5,0.5
long island university,6-3,2.1
long beach state,6-5,1.2
longwood,6-5,1.0
louisiana lafayette,0.7,8.5
louisiana monroe,6-4,1.0
louisiana tech,6-5,1.2
louisville,6-5,1.7
loyola-il,6-5,1.5
loyola marymount,6-4,1.9
loyola md,6-5,2.3
louisiana state,6-4,1.3
maine,6-6,1.2
manhattan,6-4,1.1
marist,6-4,1.5
marquette,6-5,2.2
marshall,6-6,1.0
maryland,6-6,1.1
maryland eastern shore,6-4,1.0
massachusetts,6-5,2.1
mcneese state,6-4,1.6
memphis,6-5,1.5
mercer,6-5,2.1
miami fl,6-6,2.4
miami oh,6-4,1.5
michigan,6-5,0.8
michigan state,6-6,1.3
middle tennessee,6-4,1.5
milwaukee,6-5,1.2
minnesota,6-5,1.8
mississippi,6-5,1.7
mississippi state,6-5,0.5
mississippi valley state,0.2,1.7
missouri,6-6,1.9
missouri state,6-4,0.7
monmouth,6-3,1.6
montana,6-5,1.5
montana state,6-4,0.4
morehead state,6-5,0.7
morgan state,6-6,1.3
mount st marys,6-4,1.5
murray state,6-4,1.8
navy,6-3,0.8
nebraska,6-5,1.4
nebraska omaha,6-4,0.1
nevada,6-6,1.8
new hampshire,6-5,2.3
new mexico,6-6,1.8
new mexico state,6-6,1.4
new orleans,6-3,0.2
niagara,6-3,1.3
nicholls state,6-3,1.2
njit,6-5,1.5
norfolk state,6-6,1.8
north carolina,6-6,1.2
north carolina at,6-5,1.7
north carolina central,6-5,1.3
north carolina state,6-6,1.7
north dakota,6-4,2.0
north dakota state,6-5,1.4
north florida,6-5,2.0
north texas,1.4,7.8
northeastern,6-5,1.4
northern arizona,6-3,1.6
northern colorado,6-4,1.3
northern illinois,6-4,0.6
northern iowa,6-5,2.1
northern kentucky,6-3,0.6
northwestern,6-5,1.6
northwestern state,6-4,1.6
notre dame,6-6,1.6
oakland,6-5,1.8
ohio,2.4,6.9
ohio state,6-6,1.6
oklahoma,6-5,1.7
oklahoma state,6-5,0.9
old dominion,6-5,1.3
oral roberts,6-5,1.7
oregon,6-5,1.5
oregon state,6-5,1.7
pacific,6-4,0.9
pennsylvania,6-4,1.0
penn state,6-5,1.3
pepperdine,6-5,1.0
pittsburgh,6-6,1.9
portland,6-5,1.3
portland state,6-3,1.3
prairie view,6-6,1.2
presbyterian,6-5,1.5
princeton,6-7,2.0
providence,6-5,1.5
purdue,6-5,1.1
quinnipiac,6-4,1.4
radford,6-3,0.7
rhode island,6-5,1.5
rice,6-3,0.8
richmond,6-4,1.5
rider,6-5,1.6
robert morris,6-4,1.7
rutgers,6-4,1.6
sacramento state,6-4,1.4
sacred heart,6-4,1.6
saint josephs,6-5,2.0
saint louis,6-5,2.2
saint marys ca,6-5,2.0
saint peters,6-4,2.2
sam houston state,6-3,0.6
samford,6-5,0.6
san diego,6-4,1.7
san diego state,6-6,1.6
san francisco,6-6,0.9
san jose state,6-5,1.2
santa clara,6-5,2.4
savannah state,6-4,2.0
seattle,6-5,1.0
seton hall,6-6,1.7
siena,6-4,1.2
southern illinois edwardsville,6-4,1.7
southern methodist,6-6,1.4
south alabama,6-3,1.4
south carolina,6-3,1.5
south carolina state,6-4,0.7
south dakota,6-4,1.1
