,Avg_Height,Avg_Experience
abilene christian,6-4,1.0
air force,6-4,1.9
akron,6-5,1.8
alabama,6-6,1.5
alabama am,6-3,1.3
alabama state,6-4,1.6
albany-ny,6-5,1.4
alcorn state,6-4,1.1
american,6-5,1.3
appalachian state,6-5,1.0
arizona,6-6,0.7
arizona state,6-4,1.2
arkansas,6-5,1.7
arkansas little rock,6-4,1.7
arkansas pine bluff,6-5,0.9
arkansas state,6-3,0.7
army,6-4,1.3
auburn,6-5,0.8
austin peay,6-4,1.3
ball state,6-6,1.7
baylor,6-6,1.6
belmont,6-6,2.1
bethune cookman,6-4,0.3
binghamton,6-4,1.6
boise state,6-6,1.3
boston college,6-6,1.3
boston university,2.0,0.3
bowling green-state,6-4,1.4
bradley,6-5,0.8
brown,6-4,1.6
bryant,6-4,1.1
bucknell,6-4,1.4
buffalo,6-5,1.2
butler,6-4,1.9
brigham young,6-6,1.1
cal poly,6-3,1.4
cal state bakersfield,6-3,1.2
cal state fullerton,6-4,1.1
cal state northridge,6-6,1.9
california,6-6,1.9
campbell,6-4,1.0
canisius,6-4,1.4
central arkansas,6-4,1.5
central connecticut state,6-4,1.6
central michigan,6-4,1.8
charleston southern,6-4,1.0
charlotte,6-4,1.4
chattanooga,6-4,1.9
chicago state,6-4,1.5
cincinnati,6-6,1.7
clemson,6-6,2.1
cleveland state,6-5,1.3
coastal carolina,6-4,1.5
colgate,6-5,1.5
college of charleston,6-5,1.2
colorado,6-6,1.6
colorado state,6-5,0.8
columbia,6-5,1.5
connecticut,6-6,1.6
coppin state,6-5,0.6
cornell,6-4,1.6
creighton,6-5,1.7
dartmouth,6-4,1.4
davidson,6-5,1.7
dayton,6-5,2.2
delaware,6-5,1.6
delaware state,6-4,1.5
denver,6-5,1.2
depaul,6-6,1.2
detroit-mercy,6-4,1.2
drake,6-4,1.3
drexel,6-4,1.6
duke,6-6,1.6
duquesne,6-5,1.2
east carolina,6-6,1.4
east tennessee state,6-5,1.5
eastern illinois,6-3,0.8
eastern kentucky,6-4,1.0
eastern michigan,6-6,1.5
eastern washington,6-5,1.5
elon,6-5,1.6
evansville,6-5,1.9
fairfield,6-4,1.5
fairleigh dickinson,6-4,1.4
florida international,6-5,1.2
florida,6-5,1.8
florida am,6-4,0.5
florida atlantic,6-6,1.2
florida gulf coast,6-4,1.7
florida state,6-7,1.1
fordham,6-5,1.4
fresno state,6-5,1.9
furman,6-3,1.7
gardner webb,6-4,1.0
george mason,6-4,1.3
george washington,6-6,1.3
