,Avg_Height,Avg_Experience
georgetown,6-6,1.5
georgia,6-5,1.6
georgia southern,6-4,1.4
georgia state,6-5,1.8
georgia tech,6-5,1.8
gonzaga,6-6,2.0
grambling,6-3,1.2
grand canyon,6-4,1.3
green bay,6-5,1.8
hampton,6-4,1.2
hartford,6-4,1.3
harvard,6-5,1.0
hawaii,6-5,0.9
high point,6-4,1.5
hofstra,6-4,1.6
holy cross,6-4,2.2
houston,6-5,1.7
houston baptist,6-5,2.0
howard,6-5,2.3
idaho,6-5,1.5
idaho state,6-4,1.0
illinois,6-6,2.1
illinois chicago,6-5,0.5
illinois state,6-5,1.6
incarnate word,6-4,1.1
indiana,6-5,1.2
indiana state,6-4,1.4
iona,6-4,1.5
iowa,6-6,1.0
iowa state,6-4,2.5
ipfw,6-4,1.7
iupui,6-4,2.1
jackson state,6-4,1.5
jacksonville,6-4,1.6
jacksonville state,6-5,1.0
james madison,6-6,2.3
kansas,6-5,1.8
kansas state,6-5,1.4
kennesaw state,6-5,1.6
kent state,6-4,1.3
kentucky,6-5,0.8
la salle,6-5,2.0
lafayette,6-5,1.2
lamar,6-3,1.2
lehigh,6-4,1.6
liberty,6-4,1.2
lipscomb,6-4,1.4
long island university,6-3,1.5
long beach state,6-3,1.4
longwood,6-5,1.4
louisiana lafayette,6-4,1.3
louisiana monroe,6-4,1.0
louisiana tech,6-6,1.3
louisville,6-6,1.6
loyola-il,6-4,1.3
loyola marymount,6-5,1.5
loyola md,6-4,1.7
louisiana state,6-6,0.9
maine,6-4,0.9
manhattan,6-4,1.3
marist,6-5,1.4
marquette,6-5,1.7
marshall,6-5,1.6
maryland,6-5,1.1
massachusetts lowell,6-4,1.5
maryland eastern shore,6-4,1.2
massachusetts,6-5,1.1
mcneese state,6-4,1.3
memphis,6-6,1.1
mercer,6-5,1.4
miami fl,6-6,1.5
miami oh,6-6,0.9
michigan,6-6,2.0
michigan state,6-4,1.0
middle tennessee,6-5,1.6
milwaukee,6-4,1.1
minnesota,6-6,1.3
mississippi,6-5,1.4
mississippi state,6-5,0.7
mississippi valley state,6-3,1.2
missouri,6-4,0.8
missouri state,6-4,0.9
monmouth,6-4,2.1
montana,6-4,1.5
montana state,6-5,0.6
morehead state,6-4,1.3
morgan state,6-5,0.8
mount st marys,6-3,1.5
murray state,6-4,1.3
navy,6-4,1.7
nebraska,6-6,1.2
nebraska omaha,6-5,1.5
nevada,6-6,1.6
new hampshire,6-4,2.0
new mexico,6-6,1.6
new mexico state,6-5,1.4
new orleans,6-4,1.8
niagara,6-4,1.2
nicholls state,6-4,1.6
njit,6-4,1.7
norfolk state,6-5,1.1
north carolina,6-6,1.9
north carolina at,6-4,1.3
north carolina central,6-4,2.0
north carolina state,6-6,1.2
north dakota,6-4,1.5
north dakota state,6-5,1.7
north florida,6-5,1.6
north texas,6-5,1.2
northeastern,6-6,1.7
northern arizona,6-5,1.5
northern colorado,6-4,0.7
northern illinois,6-5,1.5
northern iowa,6-5,1.3
northern kentucky,6-5,1.0
northwestern,6-6,1.8
northwestern state,6-4,1.7
notre dame,6-5,2.0
oakland,6-4,1.7
ohio,6-5,1.3
ohio state,6-6,1.6
oklahoma,6-6,0.9
oklahoma state,6-4,1.7
old dominion,6-5,1.6
oral roberts,6-4,1.4
oregon,6-5,1.7
oregon state,6-6,0.6
pacific,6-5,1.7
pennsylvania,6-4,1.2
penn state,6-6,1.1
pepperdine,6-4,1.6
pittsburgh,6-7,2.4
portland,6-5,1.5
portland state,6-4,1.2
prairie view,6-3,1.1
presbyterian,6-4,1.6
princeton,6-5,2.0
providence,6-6,1.1
purdue,6-5,1.6
quinnipiac,6-5,0.7
radford,6-4,0.7
rhode island,6-5,1.9
rice,6-5,1.1
richmond,6-3,1.8
rider,6-4,1.9
robert morris,6-4,1.2
rutgers,6-6,1.4
sacramento state,6-4,1.9
sacred heart,6-4,1.3
saint josephs,6-5,1.2
saint louis,6-5,1.4
saint marys ca,6-6,2.0
saint peters,6-4,2.1
sam houston state,6-3,1.7
samford,6-5,1.3
san diego,6-5,1.1
san diego state,6-6,2.0
san francisco,6-6,0.7
san jose state,6-6,1.3
santa clara,6-5,2.0
savannah state,6-4,0.4
seattle,6-6,1.3
seton hall,6-5,1.8
siena,6-5,2.3
southern illinois edwardsville,6-5,1.2
southern methodist,6-6,1.9
south alabama,6-5,1.5
south carolina,6-5,1.4
south carolina state,6-4,1.2
south dakota,6-4,1.0
south dakota state,6-5,1.7
south florida,6-6,1.0
southeast missouri state,6-4,1.2
southeastern louisiana,6-4,1.0
southern,6-5,1.6
southern illinois,6-4,1.4
southern mississippi,6-4,1.1
southern utah,6-5,1.4
st bonaventure,6-5,1.8
st francis ny,6-3,1.1
saint francis pa,6-3,0.9
st johns ny,6-5,0.6
stanford,6-6,2.0
stephen f austin,6-5,0.9
stetson,6-4,1.7
stony brook,6-5,1.6
syracuse,6-6,1.7
texas christian,6-6,1.2
temple,6-6,1.6
tennessee,6-5,1.0
tennessee martin,6-4,1.5
tennessee state,6-5,1.7
tennessee tech,6-4,1.5
texas,6-6,1.0
texas am,6-6,1.4
texas am corpus christi,2.0,4.0
texas southern,6-2,0.7
texas state,6-4,0.9
texas tech,6-5,1.8
citadel,6-3,1.0
toledo,6-6,1.8
towson,6-5,1.4
troy,6-4,1.2
tulane,6-6,1.7
tulsa,6-5,1.0
alabama birmingham,6-5,1.9
california davis,6-4,1.7
california irvine,6-5,1.2
california riverside,6-5,0.9
california santa barbara,6-5,1.2
central florida,6-7,2.1
ucla,6-6,1.3
maryland baltimore county,6-3,1.6
missouri kansas city,6-3,1.0
north carolina asheville,6-4,1.9
north carolina greensboro,6-5,1.8
north carolina wilmington,6-4,1.7
nevada las vegas,6-6,1.1
southern california,6-6,1.1
south carolina upstate,6-5,1.6
texas arlington,6-4,1.9
texas pan american,6-4,1.0
utah,6-6,0.8
utah state,6-6,1.0
utah valley,6-5,1.1
texas el paso,6-5,1.8
texas san antonio,6-5,1.1
valparaiso,6-5,1.9
vanderbilt,6-6,1.8
virginia commonwealth,6-4,2.0
vermont,6-5,2.1
villanova,6-6,1.8
virginia,6-5,1.6
virginia tech,6-5,1.7
virginia military institute,6-4,1.8
wagner,6-4,1.4
wake forest,6-5,1.4
washington,6-5,0.7
washington state,6-5,1.6
weber state,6-4,1.7
west virginia,6-6,1.8
western carolina,6-5,1.1
western illinois,6-5,1.5
western kentucky,6-5,2.2
western michigan,6-6,1.2
wichita state,6-5,1.3
william mary,6-6,1.9
winthrop,6-3,2.0
wisconsin,6-6,2.1
wofford,6-5,1.8
wright state,6-5,1.9
wyoming,6-6,1.5
xavier,6-6,1.8
yale,6-6,1.3
youngstown state,6-5,1.3
