,Avg_Height,Avg_Experience
abilene christian,6-4,2.0
air force,6-5,1.5
akron,6-4,1.5
alabama,6-6,1.8
alabama am,6-4,0.8
alabama state,6-4,1.1
albany-ny,6-5,0.6
alcorn state,6-5,1.4
american,6-5,1.1
appalachian state,6-5,1.7
arizona,6-5,1.8
arizona state,6-6,1.0
arkansas,6-5,0.5
arkansas little rock,6-4,1.1
arkansas pine bluff,6-5,1.0
arkansas state,6-4,1.1
army,6-3,1.8
auburn,6-5,1.7
austin peay,6-4,1.8
ball state,6-5,2.2
baylor,6-5,1.1
belmont,6-5,1.7
bethune cookman,6-4,1.2
binghamton,6-4,1.7
boise state,6-6,1.8
boston college,6-6,1.5
boston university,6-6,0.9
bowling green-state,6-5,1.6
bradley,6-5,1.9
brown,6-4,1.5
bryant,6-4,1.5
bucknell,6-5,1.9
buffalo,6-5,1.7
butler,6-5,1.9
brigham young,6-5,1.7
cal poly,6-5,1.2
cal state bakersfield,6-4,1.2
cal state fullerton,2.1,6.9
cal state northridge,6-4,0.4
california,6-5,0.8
campbell,6-3,1.6
canisius,6-5,1.4
central arkansas,6-6,1.3
central connecticut state,6-5,0.8
central michigan,6-4,1.7
charleston southern,6-4,0.8
charlotte,6-5,0.9
chattanooga,6-4,0.8
chicago state,6-5,0.8
cincinnati,6-5,1.8
clemson,6-6,2.2
cleveland state,6-5,0.8
coastal carolina,6-5,0.7
colgate,6-6,1.6
college of charleston,6-5,1.8
colorado,6-5,1.0
colorado state,6-4,1.1
columbia,6-4,1.7
connecticut,6-5,1.7
coppin state,6-5,1.1
cornell,6-5,1.7
creighton,6-5,1.5
dartmouth,6-4,1.4
davidson,6-6,1.1
dayton,6-5,1.3
delaware,6-5,1.5
delaware state,6-4,0.9
denver,6-5,1.7
depaul,6-6,1.8
detroit-mercy,6-5,1.2
drake,6-4,1.4
drexel,6-5,1.3
duke,6-7,0.7
duquesne,6-4,0.7
east carolina,6-5,1.0
east tennessee state,6-5,0.5
eastern illinois,6-4,0.4
eastern kentucky,6-4,1.2
eastern michigan,6-6,1.9
eastern washington,6-4,1.6
elon,6-5,1.7
evansville,6-4,0.7
fairfield,6-5,1.0
fairleigh dickinson,6-4,1.7
florida international,6-4,1.0
florida,6-5,1.4
florida am,6-5,1.3
florida atlantic,6-5,0.7
florida gulf coast,6-5,1.7
florida state,6-7,2.0
fordham,6-4,1.1
fresno state,6-5,2.2
furman,6-4,1.5
gardner webb,6-3,1.9
george mason,6-4,1.6
george washington,6-5,1.3
georgetown,6-6,1.4
georgia,6-6,1.8
georgia southern,6-4,1.4
georgia state,6-5,2.2
georgia tech,6-6,1.2
gonzaga,6-6,2.0
grambling,6-6,1.2
grand canyon,6-7,1.5
green bay,6-5,1.5
hampton,6-4,2.2
hartford,6-4,2.6
harvard,6-6,1.4
hawaii,6-5,1.7
high point,6-4,1.8
hofstra,6-4,2.3
holy cross,6-4,1.6
houston,6-4,1.4
houston baptist,6-4,1.1
howard,6-5,1.0
idaho,6-5,0.7
idaho state,6-5,1.7
illinois,6-5,0.9
illinois chicago,6-5,1.3
illinois state,6-5,1.5
incarnate word,6-3,0.7
indiana,6-6,1.3
indiana state,1.6,3.9
iona,6-5,1.4
iowa,6-6,1.6
iowa state,6-6,1.5
ipfw,6-5,1.6
iupui,6-5,1.6
jackson state,6-4,1.4
jacksonville,6-4,1.0
jacksonville state,6-4,2.0
james madison,6-6,1.2
kansas,6-5,1.1
kansas state,6-5,2.0
kennesaw state,6-5,1.5
kent state,6-4,1.6
kentucky,6-6,0.7
la salle,6-4,1.5
lafayette,6-5,1.3
lamar,6-4,1.7
lehigh,6-5,1.7
liberty,6-4,1.7
lipscomb,6-4,2.1
long island university,6-4,2.1
long beach state,6-6,1.7
longwood,6-5,1.1
louisiana lafayette,6-4,2.0
louisiana monroe,6-4,1.1
louisiana tech,6-4,1.1
louisville,6-5,2.2
loyola-il,6-5,1.6
loyola marymount,6-6,1.4
loyola md,6-4,1.4
louisiana state,0.6,3.7
maine,6-5,1.3
manhattan,6-5,0.7
marist,6-4,1.9
marquette,6-6,1.5
marshall,6-4,1.7
maryland,6-6,0.7
massachusetts lowell,6-5,1.2
maryland eastern shore,6-4,1.4
massachusetts,6-4,1.3
mcneese state,6-4,1.7
memphis,6-4,1.0
mercer,6-5,1.5
miami fl,6-4,2.0
miami oh,6-5,1.1
michigan,6-6,1.3
michigan state,6-6,1.8
middle tennessee,6-5,1.1
milwaukee,6-5,1.3
minnesota,6-6,1.7
mississippi,6-5,1.3
mississippi state,6-6,1.7
mississippi valley state,6-4,0.8
missouri,6-6,1.2
missouri state,6-5,1.5
monmouth,6-5,1.5
montana,6-4,2.3
montana state,6-5,1.7
morehead state,6-4,1.4
morgan state,6-3,1.4
mount st marys,6-4,0.3
murray state,6-5,0.8
navy,6-4,1.4
nebraska,6-5,2.2
nebraska omaha,6-5,2.1
nevada,6-6,2.7
new hampshire,6-4,1.2
new mexico,6-6,1.4
new mexico state,6-4,1.1
new orleans,6-4,1.1
niagara,6-4,1.8
nicholls state,6-4,0.8
njit,6-4,1.5
norfolk state,6-4,1.7
north carolina,6-7,1.9
north carolina at,6-4,1.6
north carolina central,6-4,1.9
north carolina state,6-5,1.7
north dakota,6-5,1.5
north dakota state,6-5,1.0
north florida,6-5,1.3
north texas,6-3,1.2
northeastern,6-5,2.3
northern arizona,6-5,0.6
northern colorado,6-4,1.2
northern illinois,6-5,1.6
northern iowa,6-5,1.7
northern kentucky,6-5,1.7
northwestern,6-7,2.0
northwestern state,6-4,1.2
notre dame,6-6,1.0
oakland,6-5,1.4
ohio,6-6,1.2
ohio state,6-5,1.3
oklahoma,6-6,2.2
oklahoma state,1.3,0.4
old dominion,6-6,1.8
oral roberts,6-6,1.0
oregon,6-7,1.2
oregon state,6-6,1.6
pacific,6-4,1.1
pennsylvania,6-4,2.0
penn state,6-5,1.3
pepperdine,6-4,1.0
pittsburgh,6-5,0.9
portland,6-5,0.8
portland state,6-4,0.7
prairie view,6-3,0.8
presbyterian,6-3,1.3
princeton,6-5,1.5
providence,6-6,1.5
purdue,6-7,1.6
quinnipiac,6-5,1.4
radford,6-3,2.0
rhode island,6-4,1.1
rice,6-6,0.8
richmond,6-5,1.1
rider,6-5,2.1
robert morris,6-4,1.2
rutgers,6-7,0.9
sacramento state,6-4,1.4
sacred heart,6-4,1.0
saint josephs,6-4,1.5
saint louis,6-5,1.8
saint marys ca,6-6,1.4
saint peters,6-4,1.0
sam houston state,6-3,1.8
samford,6-5,1.2
san diego,6-5,2.1
san diego state,6-6,1.5
san francisco,6-5,2.0
san jose state,6-7,0.6
santa clara,6-7,1.1
savannah state,0.6,8.7
seattle,6-5,1.3
seton hall,6-6,1.4
siena,6-7,1.5
southern illinois edwardsville,6-4,0.8
southern methodist,6-5,1.6
south alabama,6-4,1.7
south carolina,6-6,1.5
south carolina state,6-4,1.4
south dakota,6-4,1.8
south dakota state,6-5,1.9
south florida,6-6,0.9
southeast missouri state,6-4,0.6
southeastern louisiana,6-4,1.9
southern,6-4,1.3
southern illinois,6-5,2.2
southern mississippi,6-3,1.8
southern utah,6-5,1.0
st bonaventure,6-5,1.1
st francis ny,6-3,1.5
saint francis pa,6-4,2.0
st johns ny,6-5,1.6
stanford,6-7,1.0
stephen f austin,6-5,1.7
stetson,6-5,0.9
stony brook,6-5,0.8
syracuse,6-7,1.5
texas christian,6-6,1.6
temple,6-6,1.8
tennessee,6-6,2.2
tennessee martin,6-3,1.3
tennessee state,6-3,1.1
tennessee tech,6-5,1.1
texas,6-6,1.3
texas am,6-5,1.3
texas am corpus christi,6-4,1.9
texas southern,6-4,1.9
texas state,6-4,1.2
texas tech,6-5,1.8
citadel,6-4,2.2
toledo,6-6,1.8
towson,6-6,1.1
troy,6-5,1.4
tulane,6-7,1.3
tulsa,6-5,1.7
alabama birmingham,6-5,1.2
california davis,6-4,2.0
california irvine,6-5,2.1
california riverside,6-6,0.9
california santa barbara,6-5,1.3
central florida,6-7,2.2
ucla,6-7,0.7
maryland baltimore county,6-5,1.4
missouri kansas city,6-4,1.3
