,Avg_Height,Avg_Experience
abilene christian,6-3,0.8
air force,6-5,1.4
akron,6-5,1.8
alabama,6-5,1.6
alabama am,6-4,1.3
alabama state,6-3,1.7
albany-ny,6-5,1.7
alcorn state,6-5,1.6
american,6-5,1.5
appalachian state,6-4,1.5
arizona,6-6,1.8
arizona state,6-5,1.1
arkansas,6-5,1.8
arkansas little rock,6-4,1.4
arkansas pine bluff,6-6,1.0
arkansas state,6-5,1.0
army,6-6,2.2
auburn,6-6,1.2
austin peay,6-4,0.9
ball state,6-5,1.7
baylor,6-5,1.5
belmont,6-5,1.6
bethune cookman,6-3,1.7
binghamton,6-4,0.8
boise state,6-6,2.1
boston college,6-6,1.4
boston university,6-5,1.7
bowling green-state,6-5,1.2
bradley,6-6,0.3
brown,6-5,1.5
bryant,6-4,1.4
bucknell,6-4,1.7
buffalo,6-5,1.0
butler,6-5,2.2
brigham young,6-6,1.7
cal poly,6-5,1.8
cal state bakersfield,6-3,0.8
cal state fullerton,6-4,0.8
cal state northridge,6-5,1.3
california,6-7,1.4
campbell,6-3,1.4
canisius,6-4,1.9
central arkansas,6-5,0.9
central connecticut state,6-5,1.0
central michigan,6-4,2.2
charleston southern,6-4,1.3
charlotte,6-4,0.8
chattanooga,6-5,1.8
chicago state,6-4,0.8
cincinnati,6-6,1.5
clemson,6-5,2.0
cleveland state,6-5,1.1
coastal carolina,6-4,1.9
colgate,6-4,1.3
college of charleston,6-5,0.8
colorado,6-6,1.8
colorado state,6-4,1.8
columbia,6-5,2.0
connecticut,6-6,1.9
coppin state,6-5,0.5
cornell,6-4,1.2
creighton,6-5,1.5
dartmouth,6-4,1.6
davidson,6-3,1.7
dayton,6-5,1.5
delaware,6-5,1.7
delaware state,6-4,0.9
denver,6-4,1.2
depaul,6-6,1.4
detroit-mercy,6-5,1.4
drake,6-5,1.1
drexel,6-5,1.6
duke,6-7,1.1
duquesne,6-4,1.9
east carolina,6-6,1.4
east tennessee state,6-4,2.0
eastern illinois,6-2,0.6
eastern kentucky,6-5,1.4
eastern michigan,6-5,0.9
eastern washington,6-4,1.7
elon,6-5,1.2
evansville,6-4,2.4
fairfield,6-5,1.1
fairleigh dickinson,6-4,0.7
florida international,6-5,1.0
florida,6-6,1.2
florida am,6-4,0.6
florida atlantic,6-5,1.2
florida gulf coast,6-5,1.3
florida state,6-7,1.2
fordham,6-4,1.4
