,Avg_Height,Avg_Experience
fresno state,6-5,1.9
furman,6-4,1.5
gardner webb,6-4,1.4
george mason,6-5,1.0
george washington,6-6,2.2
georgetown,6-6,1.4
georgia,6-5,1.7
georgia southern,6-4,0.7
georgia state,6-5,2.2
georgia tech,6-5,2.6
gonzaga,6-6,1.9
grambling,6-4,0.4
grand canyon,6-4,1.3
green bay,6-5,1.6
hampton,6-4,2.3
hartford,6-3,1.3
harvard,6-6,1.4
hawaii,6-5,1.7
high point,6-4,2.1
hofstra,6-5,2.2
holy cross,6-4,1.6
houston,6-5,1.6
houston baptist,6-5,1.8
howard,6-4,1.8
idaho,6-5,1.3
idaho state,6-4,0.5
illinois,6-6,1.5
illinois chicago,6-6,0.9
illinois state,6-5,1.4
incarnate word,6-4,1.2
indiana,6-5,1.7
indiana state,6-4,1.5
iona,6-5,1.6
iowa,6-6,2.0
iowa state,6-5,2.1
ipfw,6-4,1.5
iupui,6-5,1.8
jackson state,6-4,1.3
jacksonville,6-4,1.3
jacksonville state,6-4,0.5
james madison,6-6,1.7
kansas,6-5,1.9
kansas state,6-6,1.2
kennesaw state,6-4,1.8
kent state,6-4,2.2
kentucky,6-5,0.9
la salle,6-4,1.4
lafayette,6-5,1.8
lamar,6-3,0.9
lehigh,6-4,1.6
liberty,6-4,1.0
lipscomb,6-4,1.3
long island university,6-4,1.4
long beach state,6-4,1.4
longwood,6-3,1.5
louisiana lafayette,6-5,1.7
louisiana monroe,1.3,4.6
louisiana tech,6-6,1.3
louisville,6-6,1.6
loyola-il,6-4,1.5
loyola marymount,6-5,0.7
loyola md,6-5,2.0
louisiana state,6-6,1.0
maine,6-4,1.1
manhattan,6-4,1.8
marist,6-5,0.9
marquette,6-6,0.8
marshall,6-5,0.8
maryland,6-7,1.7
massachusetts lowell,6-3,0.6
maryland eastern shore,6-4,0.9
massachusetts,6-4,2.0
mcneese state,6-4,1.5
memphis,6-5,1.3
mercer,6-5,1.0
miami fl,6-6,2.1
miami oh,6-4,1.8
michigan,6-6,1.3
michigan state,6-5,1.8
middle tennessee,6-5,1.2
milwaukee,6-4,1.5
minnesota,6-6,1.0
mississippi,6-5,2.0
mississippi state,6-5,1.6
mississippi valley state,6-3,0.6
missouri,6-4,0.8
missouri state,6-4,0.7
monmouth,6-4,1.6
montana,6-4,1.2
montana state,6-4,1.1
morehead state,6-4,1.3
morgan state,6-4,1.5
mount st marys,6-3,1.6
murray state,6-3,1.5
navy,6-4,1.8
nebraska,6-5,1.4
nebraska omaha,6-4,1.1
nevada,6-5,1.2
new hampshire,6-4,1.5
new mexico,6-6,1.3
new mexico state,6-6,1.0
new orleans,6-3,1.3
niagara,6-5,0.7
nicholls state,6-5,1.8
njit,6-4,1.9
norfolk state,6-4,1.2
north carolina,6-5,1.8
north carolina at,6-4,2.0
north carolina central,6-4,1.7
north carolina state,6-7,1.2
north dakota,6-5,0.7
north dakota state,6-5,1.4
north florida,6-5,2.2
north texas,6-4,0.8
northeastern,6-6,2.1
northern arizona,6-4,0.7
northern colorado,6-3,1.1
northern illinois,6-4,1.3
northern iowa,6-5,2.1
northern kentucky,6-4,1.7
northwestern,6-6,1.9
northwestern state,6-4,1.3
notre dame,6-6,1.7
oakland,6-4,1.8
ohio,6-6,1.2
ohio state,6-6,0.8
oklahoma,6-5,2.0
oklahoma state,6-5,1.2
old dominion,6-5,1.7
oral roberts,6-4,1.3
oregon,6-6,0.9
oregon state,6-6,1.2
pacific,6-5,1.0
pennsylvania,6-4,1.1
penn state,6-6,1.6
pepperdine,6-4,1.9
pittsburgh,6-7,2.1
portland,6-5,1.2
portland state,6-4,1.2
prairie view,6-3,0.6
presbyterian,6-3,1.2
princeton,6-5,1.4
providence,6-5,1.1
purdue,6-6,1.5
quinnipiac,6-5,0.8
radford,6-3,1.8
rhode island,6-4,1.4
rice,6-4,1.0
richmond,6-5,2.2
rider,6-4,2.3
robert morris,6-5,0.6
rutgers,6-5,1.2
sacramento state,6-4,1.6
sacred heart,6-4,1.4
saint josephs,6-5,1.8
saint louis,6-5,1.4
saint marys ca,6-5,1.0
saint peters,6-5,1.3
sam houston state,6-4,0.7
samford,6-4,0.8
san diego,6-5,1.2
san diego state,6-7,1.5
san francisco,6-4,1.1
san jose state,6-7,0.8
santa clara,6-5,1.0
savannah state,6-4,0.7
seattle,6-6,1.2
seton hall,6-6,1.1
siena,6-6,1.7
southern illinois edwardsville,6-4,0.7
southern methodist,6-5,1.9
south alabama,6-5,1.5
south carolina,6-6,1.9
south carolina state,6-4,1.3
south dakota,6-4,1.6
south dakota state,6-5,1.3
south florida,6-6,1.2
southeast missouri state,6-5,1.0
southeastern louisiana,6-3,1.1
southern,6-4,1.6
southern illinois,6-3,1.7
southern mississippi,6-4,0.7
southern utah,6-4,1.5
st bonaventure,6-4,1.5
st francis ny,6-3,1.0
saint francis pa,6-4,1.9
st johns ny,6-6,1.3
stanford,6-6,1.6
stephen f austin,6-3,1.6
stetson,6-3,1.1
stony brook,6-5,2.0
syracuse,6-7,1.6
texas christian,6-5,1.2
temple,6-6,2.2
tennessee,6-5,1.4
tennessee martin,6-3,1.4
tennessee state,6-4,1.4
tennessee tech,6-4,1.0
texas,6-4,2.0
texas am,6-6,1.9
texas am corpus christi,6-4,2.6
texas southern,6-4,1.2
texas state,6-4,1.1
texas tech,6-5,1.5
citadel,6-3,1.7
toledo,6-6,1.4
towson,6-5,1.6
troy,6-4,0.8
tulane,6-6,1.4
tulsa,6-4,2.6
alabama birmingham,6-5,1.5
california davis,6-4,1.3
california irvine,6-6,2.4
california riverside,6-5,1.0
california santa barbara,6-4,2.0
central florida,6-7,1.4
ucla,6-6,1.1
maryland baltimore county,6-4,1.2
missouri kansas city,6-4,1.0
north carolina asheville,6-4,1.3
north carolina greensboro,6-4,1.5
north carolina wilmington,6-4,1.5
nevada las vegas,6-6,1.3
southern california,6-7,1.2
south carolina upstate,6-5,0.7
texas arlington,6-4,1.0
texas pan american,6-5,1.7
utah,6-6,1.7
utah state,6-5,1.1
utah valley,6-4,1.1
texas el paso,6-5,1.3
texas san antonio,6-4,0.9
valparaiso,6-6,2.0
vanderbilt,6-6,1.4
virginia commonwealth,6-4,2.0
vermont,6-5,1.5
villanova,6-5,1.7
virginia,6-6,2.0
virginia tech,6-5,1.1
virginia military institute,6-4,1.9
wagner,6-4,1.5
wake forest,6-6,1.3
washington,6-5,0.5
washington state,6-6,1.5
weber state,6-5,1.3
west virginia,6-5,1.2
western carolina,6-3,2.0
western illinois,6-5,1.3
western kentucky,6-5,1.4
western michigan,6-6,1.6
wichita state,6-5,2.0
william mary,6-6,1.8
winthrop,6-3,1.2
wisconsin,6-6,1.3
wofford,6-4,2.0
wright state,6-5,1.4
wyoming,6-5,1.3
xavier,6-6,1.6
yale,6-5,2.2
youngstown state,6-5,0.7
