,Avg_Height,Avg_Experience
abilene christian,6-4,1.5
air force,6-5,1.9
akron,6-5,1.2
alabama,6-6,0.9
alabama am,6-3,0.9
alabama state,6-4,1.1
albany-ny,6-5,1.8
alcorn state,6-5,0.9
american,6-5,0.3
appalachian state,6-6,1.5
arizona,6-6,1.4
arizona state,6-4,1.6
arkansas,6-5,1.4
arkansas little rock,6-4,0.8
arkansas pine bluff,6-5,0.8
arkansas state,6-3,0.8
army,6-4,1.3
auburn,6-4,1.1
austin peay,6-4,1.2
ball state,6-5,1.7
baylor,6-6,1.5
belmont,6-6,2.3
bethune cookman,6-5,0.8
binghamton,6-5,1.9
boise state,6-6,2.0
boston college,6-7,1.2
boston university,6-6,1.6
bowling green-state,6-5,1.1
bradley,6-5,1.3
brown,6-4,0.8
bryant,6-4,1.5
bucknell,6-5,2.0
buffalo,6-5,1.2
butler,6-5,1.6
brigham young,6-5,1.2
cal poly,6-4,1.4
cal state bakersfield,6-4,1.0
cal state fullerton,6-5,1.3
cal state northridge,6-4,1.2
california,6-6,1.2
campbell,6-4,1.5
canisius,6-5,1.1
central arkansas,6-4,1.7
central connecticut state,6-5,1.3
central michigan,6-5,1.6
charleston southern,6-5,0.7
charlotte,6-6,1.3
chattanooga,6-4,1.0
chicago state,6-4,0.9
cincinnati,6-5,1.7
clemson,6-6,2.0
cleveland state,6-4,1.6
coastal carolina,6-5,1.1
colgate,6-5,1.8
college of charleston,6-5,2.1
colorado,6-6,1.1
colorado state,6-5,1.0
columbia,6-4,1.5
connecticut,6-5,1.5
coppin state,6-5,0.6
cornell,6-5,1.2
creighton,6-5,1.7
dartmouth,6-5,1.4
davidson,6-6,1.7
dayton,6-5,1.2
delaware,6-5,1.4
delaware state,6-5,1.1
denver,6-5,1.8
depaul,6-6,1.3
detroit-mercy,6-4,1.4
drake,6-3,2.2
drexel,6-4,1.8
duke,6-7,0.7
duquesne,6-5,1.4
east carolina,6-5,1.4
east tennessee state,6-4,1.4
eastern illinois,6-4,0.9
eastern kentucky,6-4,1.1
eastern michigan,6-6,1.7
eastern washington,6-5,1.7
elon,6-5,2.1
evansville,6-6,1.2
fairfield,6-4,1.1
fairleigh dickinson,6-4,1.1
florida international,6-5,0.9
florida,6-5,1.9
florida am,6-4,1.0
florida atlantic,6-6,1.6
florida gulf coast,6-5,2.0
florida state,6-7,1.3
fordham,6-5,1.0
fresno state,6-5,2.4
furman,6-3,2.1
gardner webb,6-4,1.4
george mason,6-4,0.9
george washington,6-6,1.4
georgetown,6-6,1.2
georgia,6-7,1.7
georgia southern,6-4,2.0
georgia state,6-5,1.9
georgia tech,6-6,1.5
gonzaga,6-6,1.7
grambling,6-5,0.9
grand canyon,6-6,1.6
green bay,6-5,1.3
hampton,6-4,1.6
hartford,6-4,1.8
harvard,6-6,1.0
hawaii,6-4,1.4
high point,6-4,1.3
