,Avg_Height,Avg_Experience
hofstra,6-5,1.4
holy cross,6-4,0.9
houston,6-4,1.3
houston baptist,6-4,0.8
howard,6-5,0.9
idaho,6-5,2.6
idaho state,6-5,1.6
illinois,6-5,1.3
illinois chicago,6-5,1.3
illinois state,6-5,1.0
incarnate word,6-5,1.2
indiana,6-5,1.8
indiana state,6-4,1.5
iona,6-4,2.1
iowa,6-7,1.0
iowa state,6-5,1.1
ipfw,6-5,1.6
iupui,6-4,1.8
jackson state,6-4,1.5
jacksonville,6-4,1.1
jacksonville state,6-5,1.4
james madison,6-5,1.2
kansas,6-6,1.8
kansas state,6-5,1.1
kennesaw state,6-5,1.7
kent state,6-5,1.5
kentucky,6-7,0.2
la salle,6-4,2.0
lafayette,6-5,1.3
lamar,6-4,1.9
lehigh,6-4,1.2
liberty,6-5,1.3
lipscomb,6-5,1.6
long island university,6-3,2.1
long beach state,6-6,1.2
longwood,6-5,1.7
louisiana lafayette,6-5,2.1
louisiana monroe,1.0,2.1
louisiana tech,6-5,1.3
louisville,6-6,1.7
loyola-il,6-5,1.6
loyola marymount,6-5,0.8
loyola md,6-4,1.5
louisiana state,6-5,1.1
maine,6-3,1.2
manhattan,6-4,2.0
marist,6-6,1.5
marquette,6-4,1.2
marshall,6-5,1.4
maryland,6-6,1.2
massachusetts lowell,6-4,1.6
maryland eastern shore,6-4,0.7
massachusetts,6-4,1.3
mcneese state,6-5,1.4
memphis,6-6,0.4
mercer,6-5,2.2
miami fl,6-5,1.2
miami oh,6-5,0.7
michigan,6-6,1.5
michigan state,6-6,1.3
middle tennessee,6-5,1.7
milwaukee,6-4,1.3
minnesota,6-5,1.8
mississippi,6-5,1.6
mississippi state,6-5,1.1
mississippi valley state,6-4,0.4
missouri,6-6,1.8
missouri state,6-5,1.2
monmouth,6-5,1.3
montana,6-5,1.7
montana state,6-4,1.6
morehead state,6-4,0.5
morgan state,6-5,1.3
mount st marys,6-4,1.4
murray state,6-4,1.1
navy,6-4,2.0
nebraska,6-6,2.0
nebraska omaha,6-4,1.5
nevada,2.0,3.5
new hampshire,6-4,1.7
new mexico,6-5,1.6
new mexico state,6-3,1.3
new orleans,6-5,1.0
niagara,6-4,1.8
nicholls state,6-4,1.2
njit,6-4,1.0
norfolk state,0.9,5.3
north carolina,6-6,1.9
north carolina at,6-4,1.6
north carolina central,6-4,0.8
north carolina state,6-4,1.7
north dakota,6-5,1.5
north dakota state,6-5,1.5
north florida,6-4,0.6
north texas,6-5,0.7
northeastern,6-5,1.5
northern arizona,6-5,1.5
northern colorado,6-4,1.4
northern illinois,6-5,0.8
northern iowa,6-5,1.6
northern kentucky,6-5,1.6
northwestern,6-6,2.1
northwestern state,6-4,1.0
notre dame,6-5,1.9
oakland,6-4,2.2
ohio,6-5,1.6
ohio state,6-5,1.8
oklahoma,6-6,1.2
oklahoma state,6-6,2.2
old dominion,6-6,1.6
oral roberts,6-5,1.4
oregon,6-6,1.3
oregon state,6-6,1.5
pacific,6-5,1.0
pennsylvania,6-4,1.6
penn state,6-6,1.6
pepperdine,6-4,1.0
pittsburgh,6-5,0.4
portland,6-6,0.8
portland state,6-4,1.0
prairie view,6-4,0.9
presbyterian,6-4,1.8
princeton,6-5,1.8
providence,6-6,1.8
purdue,6-6,2.1
quinnipiac,6-5,1.6
radford,6-3,1.1
rhode island,6-4,2.2
rice,6-5,1.3
richmond,6-3,1.2
rider,6-4,1.0
robert morris,6-4,0.6
rutgers,6-6,1.3
sacramento state,6-3,1.1
sacred heart,6-4,1.7
saint josephs,6-5,1.6
saint louis,6-5,1.5
saint marys ca,6-6,2.3
saint peters,6-3,1.5
sam houston state,6-4,1.4
samford,6-3,2.0
san diego,6-5,1.7
san diego state,6-6,1.6
san francisco,6-6,1.4
san jose state,6-7,1.3
santa clara,6-5,2.1
savannah state,6-4,1.4
seattle,6-7,2.1
seton hall,6-6,2.0
siena,6-5,0.9
southern illinois edwardsville,6-4,1.1
southern methodist,6-4,1.5
south alabama,6-4,1.1
south carolina,6-6,1.3
south carolina state,6-3,0.7
south dakota,6-5,1.6
south dakota state,6-5,1.9
south florida,6-6,2.0
southeast missouri state,6-4,0.6
southeastern louisiana,6-3,2.3
southern,6-5,1.3
southern illinois,6-5,1.9
southern mississippi,6-2,1.6
southern utah,6-5,1.6
st bonaventure,6-4,1.9
st francis ny,6-3,1.0
saint francis pa,6-3,1.5
st johns ny,6-6,1.4
stanford,6-7,1.5
stephen f austin,6-5,1.3
stetson,6-3,2.0
stony brook,6-5,1.2
syracuse,6-8,0.9
texas christian,6-6,1.6
temple,6-6,1.9
tennessee,6-5,1.4
tennessee martin,6-4,1.2
tennessee state,6-5,1.4
tennessee tech,6-5,2.4
texas,6-6,1.0
texas am,6-6,1.6
texas am corpus christi,6-4,1.3
texas southern,1.3,1.4
texas state,6-5,0.6
texas tech,6-5,1.5
citadel,6-3,1.0
toledo,6-6,1.5
towson,6-5,1.7
troy,6-4,1.5
tulane,6-6,1.8
tulsa,6-5,1.5
alabama birmingham,6-5,1.6
california davis,6-3,1.5
california irvine,6-5,1.2
california riverside,6-5,1.7
california santa barbara,6-5,2.1
central florida,6-6,1.6
ucla,6-7,1.4
maryland baltimore county,6-4,1.8
missouri kansas city,6-3,0.8
north carolina asheville,6-5,2.1
north carolina greensboro,6-5,1.9
north carolina wilmington,6-4,1.5
nevada las vegas,6-5,0.5
southern california,6-6,1.9
south carolina upstate,6-4,1.8
texas arlington,6-5,2.4
texas pan american,6-4,1.6
utah,6-5,1.8
utah state,6-6,0.9
utah valley,6-5,2.0
texas el paso,6-5,1.6
texas san antonio,6-4,1.1
valparaiso,6-5,1.3
vanderbilt,6-5,1.7
virginia commonwealth,6-5,1.4
vermont,6-5,2.2
villanova,6-6,1.6
virginia,6-6,1.7
virginia tech,6-5,1.6
virginia military institute,6-3,0.9
wagner,6-3,1.7
wake forest,6-5,1.5
washington,6-5,1.3
washington state,6-5,1.3
weber state,6-5,1.4
west virginia,6-6,1.7
western carolina,6-4,1.4
western illinois,6-4,1.3
western kentucky,6-5,1.7
western michigan,6-6,1.9
wichita state,6-6,2.2
william mary,6-6,1.9
winthrop,6-4,1.7
wisconsin,6-6,1.2
wofford,6-4,1.5
wright state,6-5,1.4
wyoming,6-6,1.8
xavier,6-6,1.8
yale,6-5,1.2
youngstown state,6-5,1.0
