,Avg_Height,Avg_Experience
north carolina at,6-4,1.2
north carolina central,6-4,2.1
north carolina state,6-6,0.9
north dakota,6-3,2.0
north dakota state,6-6,2.4
north florida,6-6,1.0
north texas,6-5,1.8
northeastern,6-5,1.4
northern arizona,6-5,0.8
northern colorado,6-3,1.6
northern illinois,6-5,1.3
northern iowa,6-5,1.6
northern kentucky,6-3,0.6
northwestern,6-6,1.9
northwestern state,6-3,1.1
notre dame,6-6,1.8
oakland,6-5,1.8
ohio,1.8,3.4
ohio state,6-5,2.1
oklahoma,6-5,1.2
oklahoma state,6-4,1.6
old dominion,6-4,0.9
oral roberts,6-4,1.0
oregon,6-4,1.8
oregon state,6-6,1.9
pacific,6-5,1.5
pennsylvania,6-5,1.9
penn state,6-5,1.8
pepperdine,6-4,0.9
pittsburgh,6-6,1.8
portland,6-5,1.6
portland state,6-2,1.7
prairie view,6-4,1.4
presbyterian,6-5,0.9
princeton,6-6,1.9
providence,6-6,2.1
purdue,6-5,1.4
quinnipiac,6-4,2.0
radford,6-3,1.5
rhode island,6-5,1.0
rice,6-4,0.8
richmond,6-4,1.5
rider,6-5,1.6
robert morris,1.3,9.5
rutgers,6-5,1.8
sacramento state,6-5,1.0
sacred heart,6-4,1.7
saint josephs,6-5,2.1
saint louis,6-4,2.5
saint marys ca,6-5,2.0
saint peters,6-4,1.3
sam houston state,6-4,0.9
samford,6-5,1.0
san diego,6-4,1.4
san diego state,6-6,1.8
san francisco,6-5,1.3
san jose state,6-5,0.9
santa clara,6-4,1.7
savannah state,6-4,1.1
seattle,6-5,1.4
seton hall,6-6,2.0
siena,6-5,0.8
southern illinois edwardsville,6-4,1.5
southern methodist,6-5,1.4
south alabama,6-3,1.3
south carolina,6-4,0.7
south carolina state,6-4,0.9
south dakota,6-4,1.3
south dakota state,6-6,2.4
south florida,6-6,1.3
southeast missouri state,6-5,1.4
southeastern louisiana,6-4,1.2
southern,6-4,1.3
southern illinois,6-4,1.0
southern mississippi,6-3,1.1
southern utah,6-5,0.7
st bonaventure,6-6,1.9
st francis ny,6-3,1.5
saint francis pa,6-2,1.3
st johns ny,6-6,1.2
stanford,6-6,2.6
stephen f austin,6-3,1.2
stetson,6-5,1.8
stony brook,6-4,1.7
syracuse,6-6,1.4
texas christian,6-5,1.3
temple,6-6,1.5
tennessee,6-6,2.0
tennessee martin,6-5,1.3
tennessee state,6-4,1.4
tennessee tech,6-4,1.4
texas,6-4,0.8
texas am,6-6,1.2
texas am corpus christi,6-3,1.2
texas southern,6-5,2.1
texas state,6-5,1.1
texas tech,6-6,1.3
citadel,6-5,1.1
toledo,6-4,1.6
towson,6-6,1.7
troy,6-4,0.7
tulane,6-5,1.1
tulsa,6-5,1.2
alabama birmingham,6-6,1.3
california davis,6-4,1.7
california irvine,6-6,1.4
california riverside,6-4,1.2
california santa barbara,6-4,1.2
central florida,6-5,1.8
ucla,6-7,1.3
maryland baltimore county,1.0,6.6
missouri kansas city,6-5,1.1
north carolina asheville,6-4,1.4
north carolina greensboro,6-5,1.2
north carolina wilmington,6-5,1.9
nevada las vegas,6-5,1.6
southern california,6-6,1.6
south carolina upstate,6-5,2.1
texas arlington,6-4,1.7
texas pan american,6-4,1.2
utah,6-5,0.7
utah state,6-5,1.6
utah valley,6-4,1.5
texas el paso,6-7,1.5
texas san antonio,6-4,0.9
valparaiso,6-6,1.2
vanderbilt,1.8,0.3
virginia commonwealth,6-5,1.7
vermont,6-5,2.4
villanova,6-6,1.5
virginia,6-6,1.4
virginia tech,6-7,1.4
virginia military institute,6-3,1.5
wagner,6-4,2.3
wake forest,6-5,1.6
washington,6-5,1.4
washington state,6-6,1.4
weber state,6-5,1.2
west virginia,6-5,1.1
western carolina,6-4,2.2
western illinois,6-5,0.5
western kentucky,6-4,1.5
western michigan,6-6,1.8
wichita state,6-5,1.1
william mary,6-6,1.9
winthrop,6-3,1.2
wisconsin,6-6,1.7
wofford,6-4,1.2
wright state,6-4,2.2
wyoming,6-4,1.7
xavier,6-5,1.4
yale,6-6,1.6
youngstown state,6-4,1.6
