,Avg_Height,Avg_Experience
abilene christian,6-3,0.1
air force,6-5,1.5
akron,6-6,1.5
alabama,6-5,1.5
alabama am,6-3,2.1
alabama state,0.5,1.3
albany-ny,6-5,1.6
alcorn state,6-6,0.7
american,6-4,1.7
appalachian state,6-4,1.4
arizona,6-6,1.0
arizona state,6-5,1.6
arkansas,6-5,1.6
arkansas little rock,6-4,1.2
arkansas pine bluff,6-4,1.3
arkansas state,6-5,2.5
army,6-5,1.1
auburn,6-5,1.4
austin peay,6-4,1.0
ball state,6-4,1.2
baylor,6-6,1.6
belmont,6-5,1.7
bethune cookman,6-4,1.0
binghamton,0.9,5.7
boise state,6-5,2.0
boston college,6-6,1.4
boston university,1.9,6.9
bowling green-state,6-5,1.7
bradley,6-5,1.5
brown,6-5,0.9
bryant,6-4,2.0
bucknell,6-5,2.0
buffalo,6-5,1.8
butler,6-5,1.6
brigham young,6-6,1.3
cal poly,6-4,1.6
cal state bakersfield,6-3,1.7
cal state fullerton,6-4,1.4
cal state northridge,6-4,1.6
california,6-6,1.6
campbell,6-5,1.4
canisius,6-5,1.7
central arkansas,6-4,0.9
central connecticut state,1.2,5.7
central michigan,6-4,0.9
charleston southern,6-3,1.9
charlotte,6-5,1.6
chattanooga,6-4,1.3
chicago state,6-4,1.3
cincinnati,6-6,1.6
clemson,6-5,1.2
cleveland state,6-4,1.8
coastal carolina,6-5,0.9
colgate,6-5,1.8
college of charleston,6-6,1.7
colorado,6-6,0.9
colorado state,6-6,1.2
columbia,6-5,1.3
connecticut,6-6,2.0
coppin state,6-4,1.2
cornell,6-4,1.3
creighton,6-5,2.4
dartmouth,6-4,1.3
davidson,6-4,1.8
dayton,6-5,1.6
delaware,6-5,1.7
delaware state,6-4,1.3
denver,6-4,1.6
depaul,6-6,1.5
detroit-mercy,6-5,1.3
drake,1.1,2.7
drexel,6-6,2.1
duke,6-6,1.4
duquesne,6-4,1.2
east carolina,6-5,1.2
east tennessee state,6-4,1.0
eastern illinois,6-6,0.9
eastern kentucky,6-4,1.6
eastern michigan,6-5,1.7
eastern washington,6-6,1.0
elon,6-5,2.2
evansville,6-4,0.6
fairfield,6-5,1.0
fairleigh dickinson,6-4,1.4
florida international,6-5,1.5
florida,6-6,2.0
florida am,6-4,1.1
florida atlantic,6-5,1.4
florida gulf coast,6-5,2.0
florida state,6-7,1.5
fordham,6-3,1.3
fresno state,6-5,1.1
furman,6-4,1.0
gardner webb,6-4,1.8
george mason,6-5,1.8
george washington,6-6,1.8
georgetown,6-6,2.1
georgia,6-6,1.4
georgia southern,6-4,1.6
georgia state,6-4,1.9
georgia tech,6-6,1.7
gonzaga,6-5,2.0
grambling,6-5,0.7
grand canyon,6-5,0.6
green bay,6-6,1.5
hampton,6-4,1.2
hartford,6-3,1.8
harvard,6-5,2.1
hawaii,6-4,1.4
high point,6-4,0.9
hofstra,6-5,1.6
holy cross,6-4,1.2
houston,6-5,1.3
houston baptist,6-3,0.9
howard,6-4,0.5
idaho,6-4,1.4
idaho state,6-5,1.0
illinois,6-6,1.7
illinois chicago,6-5,1.7
illinois state,6-3,0.2
incarnate word,6-5,0.4
indiana,6-5,1.2
indiana state,6-5,1.8
iona,6-5,1.5
iowa,6-7,1.8
iowa state,6-5,1.2
ipfw,6-4,1.4
iupui,6-5,1.7
jackson state,6-5,1.2
jacksonville,6-5,1.4
jacksonville state,6-4,1.4
james madison,6-6,1.2
kansas,6-6,0.7
kansas state,6-5,1.6
kennesaw state,6-4,1.1
kent state,6-4,1.6
kentucky,6-7,0.3
la salle,6-4,2.4
lafayette,6-5,1.2
lamar,6-3,0.6
lehigh,6-5,1.1
liberty,6-5,1.9
lipscomb,6-4,1.2
long island university,6-4,1.3
long beach state,6-4,1.2
longwood,6-4,1.3
louisiana lafayette,1.5,2.4
louisiana monroe,6-5,0.8
louisiana tech,6-5,1.8
louisville,6-5,1.7
loyola-il,6-5,1.2
loyola marymount,6-4,1.5
loyola md,6-4,1.6
louisiana state,6-5,1.2
maine,6-5,1.1
manhattan,6-4,2.0
marist,6-5,1.9
marquette,6-5,2.4
marshall,6-5,0.4
maryland,6-6,1.4
massachusetts lowell,6-2,0.2
maryland eastern shore,6-4,1.4
massachusetts,6-5,2.2
mcneese state,6-4,2.0
memphis,6-5,1.8
mercer,6-6,2.6
miami fl,6-6,2.0
miami oh,6-4,1.7
michigan,6-5,1.1
michigan state,6-5,1.7
middle tennessee,6-5,1.5
milwaukee,6-5,1.4
minnesota,6-4,1.7
mississippi,6-5,1.5
mississippi state,6-4,1.0
mississippi valley state,0.4,8.6
missouri,6-6,1.4
missouri state,6-5,1.1
monmouth,6-5,0.8
montana,6-4,1.7
montana state,6-4,1.0
morehead state,6-4,1.5
morgan state,6-5,1.8
mount st marys,6-4,1.7
murray state,6-4,1.0
navy,6-3,1.2
nebraska,6-5,1.2
nebraska omaha,6-3,0.7
nevada,6-6,1.6
new hampshire,6-4,1.5
new mexico,6-6,1.7
new mexico state,6-6,1.5
new orleans,6-3,0.8
niagara,6-3,1.7
nicholls state,6-4,1.5
njit,6-3,0.6
norfolk state,6-6,2.4
north carolina,6-6,1.2
