School,Avg_Height,Avg_Experience,Postseason
abilene christian,76.0,1.5,0
air force,77.0,1.9,0
akron,77.0,1.2,0
alabama,78.0,0.9,1
alabama am,75.0,0.9,0
alabama state,76.0,1.1,0
albany-ny,77.0,1.8,0
alcorn state,77.0,0.9,0
american,77.0,0.3,0
appalachian state,78.0,1.5,0
arizona,78.0,1.4,1
arizona state,76.0,1.6,1
arkansas,77.0,1.4,1
arkansas little rock,76.0,0.8,0
arkansas pine bluff,77.0,0.8,0
arkansas state,75.0,0.8,0
army,76.0,1.3,0
auburn,76.0,1.1,1
austin peay,76.0,1.2,0
ball state,77.0,1.7,0
baylor,78.0,1.5,0
belmont,78.0,2.3,0
bethune cookman,77.0,0.8,0
binghamton,77.0,1.9,0
boise state,78.0,2.0,0
boston college,79.0,1.2,0
boston university,78.0,1.6,0
bowling green-state,77.0,1.1,0
bradley,77.0,1.3,0
brown,76.0,0.8,0
bryant,76.0,1.5,0
bucknell,77.0,2.0,1
buffalo,77.0,1.2,1
butler,77.0,1.6,1
brigham young,77.0,1.2,0
cal poly,76.0,1.4,0
cal state bakersfield,76.0,1.0,0
cal state fullerton,77.0,1.3,1
cal state northridge,76.0,1.2,0
california,78.0,1.2,0
campbell,76.0,1.5,0
canisius,77.0,1.1,0
central arkansas,76.0,1.7,0
central connecticut state,77.0,1.3,0
central michigan,77.0,1.6,0
charleston southern,77.0,0.7,0
charlotte,78.0,1.3,0
chattanooga,76.0,1.0,0
chicago state,76.0,0.9,0
cincinnati,77.0,1.7,1
clemson,78.0,2.0,1
cleveland state,76.0,1.6,0
coastal carolina,77.0,1.1,0
colgate,77.0,1.8,0
college of charleston,77.0,2.1,1
colorado,78.0,1.1,0
colorado state,77.0,1.0,0
columbia,76.0,1.5,0
connecticut,77.0,1.5,0
coppin state,77.0,0.6,0
cornell,77.0,1.2,0
creighton,77.0,1.7,1
dartmouth,77.0,1.4,0
davidson,78.0,1.7,1
dayton,77.0,1.2,0
delaware,77.0,1.4,0
delaware state,77.0,1.1,0
denver,77.0,1.8,0
depaul,78.0,1.3,0
detroit-mercy,76.0,1.4,0
drake,75.0,2.2,0
drexel,76.0,1.8,0
duke,79.0,0.7,1
duquesne,77.0,1.4,0
east carolina,77.0,1.4,0
east tennessee state,76.0,1.4,0
eastern illinois,76.0,0.9,0
eastern kentucky,76.0,1.1,0
eastern michigan,78.0,1.7,0
eastern washington,77.0,1.7,0
elon,77.0,2.1,0
evansville,78.0,1.2,0
fairfield,76.0,1.1,0
fairleigh dickinson,76.0,1.1,0
florida international,77.0,0.9,0
florida,77.0,1.9,1
florida am,76.0,1.0,0
florida atlantic,78.0,1.6,0
florida gulf coast,77.0,2.0,0
florida state,79.0,1.3,1
fordham,77.0,1.0,0
fresno state,77.0,2.4,0
furman,75.0,2.1,0
gardner webb,76.0,1.4,0
george mason,76.0,0.9,0
george washington,78.0,1.4,0
georgetown,78.0,1.2,0
georgia,79.0,1.7,0
georgia southern,76.0,2.0,0
georgia state,77.0,1.9,1
georgia tech,78.0,1.5,0
gonzaga,78.0,1.7,1
grambling,77.0,0.9,0
grand canyon,78.0,1.6,0
green bay,77.0,1.3,0
hampton,76.0,1.6,0
hartford,76.0,1.8,0
harvard,78.0,1.0,0
hawaii,76.0,1.4,0
high point,76.0,1.3,0
hofstra,77.0,1.4,0
holy cross,76.0,0.9,0
houston,76.0,1.3,1
houston baptist,76.0,0.8,0
howard,77.0,0.9,0
idaho,77.0,2.6,0
idaho state,77.0,1.6,0
illinois,77.0,1.3,0
illinois chicago,77.0,1.3,0
illinois state,77.0,1.0,0
incarnate word,77.0,1.2,0
indiana,77.0,1.8,0
indiana state,76.0,1.5,0
iona,76.0,2.1,1
iowa,79.0,1.0,0
iowa state,77.0,1.1,0
ipfw,77.0,1.6,0
iupui,76.0,1.8,0
jackson state,76.0,1.5,0
jacksonville,76.0,1.1,0
jacksonville state,77.0,1.4,0
james madison,77.0,1.2,0
kansas,78.0,1.8,1
kansas state,77.0,1.1,1
kennesaw state,77.0,1.7,0
kent state,77.0,1.5,0
kentucky,79.0,0.2,1
la salle,76.0,2.0,0
lafayette,77.0,1.3,0
lamar,76.0,1.9,0
lehigh,76.0,1.2,0
liberty,77.0,1.3,0
lipscomb,77.0,1.6,1
long island university,75.0,2.1,1
long beach state,78.0,1.2,0
longwood,77.0,1.7,0
louisiana lafayette,77.0,2.1,0
louisiana tech,77.0,1.3,0
louisville,78.0,1.7,0
loyola-il,77.0,1.6,1
loyola marymount,77.0,0.8,0
loyola md,76.0,1.5,0
louisiana state,77.0,1.1,0
maine,75.0,1.2,0
manhattan,76.0,2.0,0
marist,78.0,1.5,0
marquette,76.0,1.2,0
marshall,77.0,1.4,1
maryland,78.0,1.2,0
massachusetts lowell,76.0,1.6,0
maryland eastern shore,76.0,0.7,0
massachusetts,76.0,1.3,0
mcneese state,77.0,1.4,0
memphis,78.0,0.4,0
mercer,77.0,2.2,0
miami fl,77.0,1.2,1
miami oh,77.0,0.7,0
michigan,78.0,1.5,1
michigan state,78.0,1.3,1
middle tennessee,77.0,1.7,0
milwaukee,76.0,1.3,0
minnesota,77.0,1.8,0
mississippi,77.0,1.6,0
mississippi state,77.0,1.1,0
mississippi valley state,76.0,0.4,0
missouri,78.0,1.8,1
missouri state,77.0,1.2,0
monmouth,77.0,1.3,0
montana,77.0,1.7,1
montana state,76.0,1.6,0
morehead state,76.0,0.5,0
morgan state,77.0,1.3,0
mount st marys,76.0,1.4,0
murray state,76.0,1.1,1
navy,76.0,2.0,0
nebraska,78.0,2.0,0
nebraska omaha,76.0,1.5,0
new hampshire,76.0,1.7,0
new mexico,77.0,1.6,0
new mexico state,75.0,1.3,1
new orleans,77.0,1.0,0
niagara,76.0,1.8,0
nicholls state,76.0,1.2,0
njit,76.0,1.0,0
north carolina,78.0,1.9,1
north carolina at,76.0,1.6,0
north carolina central,76.0,0.8,1
north carolina state,76.0,1.7,1
north dakota,77.0,1.5,0
north dakota state,77.0,1.5,0
north florida,76.0,0.6,0
north texas,77.0,0.7,0
northeastern,77.0,1.5,0
northern arizona,77.0,1.5,0
northern colorado,76.0,1.4,0
northern illinois,77.0,0.8,0
northern iowa,77.0,1.6,0
northern kentucky,77.0,1.6,0
northwestern,78.0,2.1,0
northwestern state,76.0,1.0,0
notre dame,77.0,1.9,0
oakland,76.0,2.2,0
ohio,77.0,1.6,0
ohio state,77.0,1.8,1
oklahoma,78.0,1.2,1
oklahoma state,78.0,2.2,0
old dominion,78.0,1.6,0
oral roberts,77.0,1.4,0
oregon,78.0,1.3,0
oregon state,78.0,1.5,0
pacific,77.0,1.0,0
pennsylvania,76.0,1.6,1
penn state,78.0,1.6,0
pepperdine,76.0,1.0,0
pittsburgh,77.0,0.4,0
portland,78.0,0.8,0
portland state,76.0,1.0,0
prairie view,76.0,0.9,0
presbyterian,76.0,1.8,0
princeton,77.0,1.8,0
providence,78.0,1.8,1
purdue,78.0,2.1,1
quinnipiac,77.0,1.6,0
radford,75.0,1.1,1
rhode island,76.0,2.2,1
rice,77.0,1.3,0
richmond,75.0,1.2,0
rider,76.0,1.0,0
robert morris,76.0,0.6,0
rutgers,78.0,1.3,0
sacramento state,75.0,1.1,0
sacred heart,76.0,1.7,0
saint josephs,77.0,1.6,0
saint louis,77.0,1.5,0
saint marys ca,78.0,2.3,0
saint peters,75.0,1.5,0
sam houston state,76.0,1.4,0
samford,75.0,2.0,0
san diego,77.0,1.7,0
san diego state,78.0,1.6,1
san francisco,78.0,1.4,0
san jose state,79.0,1.3,0
santa clara,77.0,2.1,0
savannah state,76.0,1.4,0
seattle,79.0,2.1,0
seton hall,78.0,2.0,1
siena,77.0,0.9,0
southern illinois edwardsville,76.0,1.1,0
southern methodist,76.0,1.5,0
south alabama,76.0,1.1,0
south carolina,78.0,1.3,0
south carolina state,75.0,0.7,0
south dakota,77.0,1.6,0
south dakota state,77.0,1.9,1
south florida,78.0,2.0,0
southeast missouri state,76.0,0.6,0
southeastern louisiana,75.0,2.3,0
southern,77.0,1.3,0
southern illinois,77.0,1.9,0
southern mississippi,74.0,1.6,0
southern utah,77.0,1.6,0
st bonaventure,76.0,1.9,1
st francis ny,75.0,1.0,0
saint francis pa,75.0,1.5,0
st johns ny,78.0,1.4,0
stanford,79.0,1.5,0
stephen f austin,77.0,1.3,1
stetson,75.0,2.0,0
stony brook,77.0,1.2,0
syracuse,80.0,0.9,1
texas christian,78.0,1.6,1
temple,78.0,1.9,0
tennessee,77.0,1.4,1
tennessee martin,76.0,1.2,0
tennessee state,77.0,1.4,0
tennessee tech,77.0,2.4,0
texas,78.0,1.0,1
texas am,78.0,1.6,1
texas am corpus christi,76.0,1.3,0
texas state,77.0,0.6,0
texas tech,77.0,1.5,1
citadel,75.0,1.0,0
toledo,78.0,1.5,0
towson,77.0,1.7,0
troy,76.0,1.5,0
tulane,78.0,1.8,0
tulsa,77.0,1.5,0
alabama birmingham,77.0,1.6,0
california davis,75.0,1.5,0
california irvine,77.0,1.2,0
california riverside,77.0,1.7,0
california santa barbara,77.0,2.1,0
central florida,78.0,1.6,0
ucla,79.0,1.4,1
maryland baltimore county,76.0,1.8,1
missouri kansas city,75.0,0.8,0
north carolina asheville,77.0,2.1,0
north carolina greensboro,77.0,1.9,1
north carolina wilmington,76.0,1.5,0
nevada las vegas,77.0,0.5,0
southern california,78.0,1.9,0
south carolina upstate,76.0,1.8,0
texas arlington,77.0,2.4,0
texas pan american,76.0,1.6,0
utah,77.0,1.8,0
utah state,78.0,0.9,0
utah valley,77.0,2.0,0
texas el paso,77.0,1.6,0
texas san antonio,76.0,1.1,0
valparaiso,77.0,1.3,0
vanderbilt,77.0,1.7,0
virginia commonwealth,77.0,1.4,0
vermont,77.0,2.2,0
villanova,78.0,1.6,1
virginia,78.0,1.7,1
virginia tech,77.0,1.6,1
virginia military institute,75.0,0.9,0
wagner,75.0,1.7,0
wake forest,77.0,1.5,0
washington,77.0,1.3,0
washington state,77.0,1.3,0
weber state,77.0,1.4,0
west virginia,78.0,1.7,1
western carolina,76.0,1.4,0
western illinois,76.0,1.3,0
western kentucky,77.0,1.7,0
western michigan,78.0,1.9,0
wichita state,78.0,2.2,1
william mary,78.0,1.9,0
winthrop,76.0,1.7,0
wisconsin,78.0,1.2,0
wofford,76.0,1.5,0
wright state,77.0,1.4,1
wyoming,78.0,1.8,0
xavier,78.0,1.8,1
yale,77.0,1.2,0
youngstown state,77.0,1.0,0
