School,Avg_Height,Avg_Experience,Postseason
air force,77.0,2.2,0
akron,78.0,1.7,1
alabama,77.0,1.2,0
alabama am,75.0,1.4,0
alabama state,75.0,1.1,0
albany-ny,76.0,2.0,1
alcorn state,77.0,0.8,0
american,77.0,2.2,0
appalachian state,77.0,1.3,0
arizona,78.0,1.6,1
arizona state,77.0,1.4,0
arkansas,77.0,1.3,0
arkansas little rock,76.0,0.6,0
arkansas pine bluff,76.0,1.0,0
arkansas state,75.0,1.6,0
army,77.0,1.0,0
auburn,77.0,2.0,0
austin peay,77.0,1.2,0
ball state,77.0,1.5,0
baylor,77.0,1.2,0
belmont,76.0,2.3,1
bethune cookman,74.0,1.7,0
binghamton,76.0,1.8,0
boise state,77.0,1.2,1
boston college,78.0,0.8,0
boston university,76.0,1.1,0
bowling green-state,75.0,2.0,0
bradley,77.0,2.1,0
brown,78.0,1.5,0
bryant,76.0,1.8,0
bucknell,77.0,2.1,1
buffalo,77.0,1.6,0
butler,77.0,1.7,1
brigham young,78.0,1.4,0
cal poly,76.0,1.6,0
cal state bakersfield,75.0,1.3,0
cal state fullerton,75.0,1.5,0
cal state northridge,76.0,0.7,0
california,78.0,1.6,1
campbell,76.0,1.0,0
canisius,76.0,1.8,0
central arkansas,77.0,1.1,0
central michigan,76.0,1.0,0
charleston southern,75.0,1.4,0
charlotte,78.0,1.0,0
chattanooga,77.0,1.0,0
chicago state,76.0,0.6,0
cincinnati,77.0,1.6,1
clemson,77.0,1.3,0
cleveland state,76.0,1.2,0
coastal carolina,77.0,1.1,0
colgate,77.0,1.8,0
college of charleston,77.0,1.6,0
colorado,78.0,1.1,1
colorado state,77.0,2.3,1
columbia,77.0,1.4,0
coppin state,76.0,0.8,0
cornell,77.0,1.7,0
creighton,77.0,2.0,1
dartmouth,76.0,0.6,0
davidson,78.0,2.3,1
dayton,77.0,1.5,0
delaware,76.0,1.8,0
delaware state,77.0,1.3,0
denver,77.0,1.3,0
depaul,77.0,1.6,0
detroit-mercy,77.0,1.5,0
drake,77.0,1.6,0
duke,78.0,1.8,1
duquesne,76.0,1.2,0
east carolina,77.0,1.9,0
east tennessee state,76.0,0.7,0
eastern illinois,76.0,0.8,0
eastern kentucky,75.0,1.1,0
eastern michigan,78.0,1.9,0
eastern washington,76.0,1.1,0
elon,77.0,1.6,0
evansville,76.0,1.9,0
fairfield,75.0,1.7,0
fairleigh dickinson,76.0,1.2,0
florida international,76.0,0.6,0
florida,77.0,2.2,1
florida am,76.0,0.5,0
florida atlantic,76.0,1.6,0
florida gulf coast,77.0,1.6,1
florida state,79.0,1.2,0
fordham,76.0,0.9,0
fresno state,77.0,1.3,0
furman,77.0,1.6,0
gardner webb,76.0,1.1,0
george mason,77.0,1.5,0
george washington,78.0,1.2,0
georgetown,78.0,1.2,1
georgia,78.0,1.2,0
georgia southern,77.0,1.8,0
georgia state,77.0,1.4,0
georgia tech,78.0,1.3,0
gonzaga,78.0,1.7,1
grambling,76.0,0.9,0
green bay,77.0,1.0,0
hampton,76.0,0.8,0
hartford,76.0,1.1,0
harvard,77.0,1.3,1
hawaii,78.0,1.4,0
high point,77.0,0.7,0
hofstra,76.0,1.5,0
holy cross,77.0,1.8,0
houston,77.0,0.7,0
houston baptist,75.0,0.8,0
howard,77.0,2.0,0
idaho,77.0,1.4,0
idaho state,76.0,0.7,0
illinois,78.0,2.3,1
illinois chicago,77.0,1.8,0
illinois state,77.0,1.6,0
indiana,78.0,1.7,1
indiana state,78.0,1.2,0
iona,76.0,1.4,1
iowa,78.0,1.2,0
iowa state,77.0,1.7,1
ipfw,76.0,1.2,0
iupui,76.0,2.1,0
jackson state,75.0,1.7,0
jacksonville,75.0,1.2,0
jacksonville state,75.0,1.2,0
kansas,78.0,1.9,1
kansas state,76.0,2.0,1
kennesaw state,76.0,1.2,0
kent state,77.0,1.5,0
kentucky,78.0,0.9,0
la salle,76.0,1.7,1
lafayette,77.0,1.4,0
lamar,75.0,1.1,0
lehigh,76.0,2.0,0
lipscomb,77.0,0.5,0
long island university,75.0,2.1,1
long beach state,77.0,1.2,0
longwood,77.0,1.0,0
louisiana monroe,76.0,1.0,0
louisiana tech,77.0,1.2,0
louisville,77.0,1.7,1
loyola-il,77.0,1.5,0
loyola marymount,76.0,1.9,0
loyola md,77.0,2.3,0
louisiana state,76.0,1.3,0
maine,78.0,1.2,0
manhattan,76.0,1.1,0
marist,76.0,1.5,0
marquette,77.0,2.2,1
marshall,78.0,1.0,0
maryland,78.0,1.1,0
maryland eastern shore,76.0,1.0,0
massachusetts,77.0,2.1,0
mcneese state,76.0,1.6,0
memphis,77.0,1.5,1
mercer,77.0,2.1,0
miami fl,78.0,2.4,1
miami oh,76.0,1.5,0
michigan,77.0,0.8,1
michigan state,78.0,1.3,1
middle tennessee,76.0,1.5,1
milwaukee,77.0,1.2,0
minnesota,77.0,1.8,1
mississippi,77.0,1.7,1
mississippi state,77.0,0.5,0
missouri,78.0,1.9,1
missouri state,76.0,0.7,0
monmouth,75.0,1.6,0
montana,77.0,1.5,1
montana state,76.0,0.4,0
morehead state,77.0,0.7,0
morgan state,78.0,1.3,0
mount st marys,76.0,1.5,0
murray state,76.0,1.8,0
navy,75.0,0.8,0
nebraska,77.0,1.4,0
nebraska omaha,76.0,0.1,0
nevada,78.0,1.8,0
new hampshire,77.0,2.3,0
new mexico,78.0,1.8,1
new mexico state,78.0,1.4,1
new orleans,75.0,0.2,0
niagara,75.0,1.3,0
