School,Avg_Height,Avg_Experience,Postseason
nicholls state,75.0,1.2,0
njit,77.0,1.5,0
norfolk state,78.0,1.8,0
north carolina,78.0,1.2,1
north carolina at,77.0,1.7,1
north carolina central,77.0,1.3,0
north carolina state,78.0,1.7,1
north dakota,76.0,2.0,0
north dakota state,77.0,1.4,0
north florida,77.0,2.0,0
northeastern,77.0,1.4,0
northern arizona,75.0,1.6,0
northern colorado,76.0,1.3,0
northern illinois,76.0,0.6,0
northern iowa,77.0,2.1,0
northern kentucky,75.0,0.6,0
northwestern,77.0,1.6,0
northwestern state,76.0,1.6,1
notre dame,78.0,1.6,1
oakland,77.0,1.8,0
ohio state,78.0,1.6,1
oklahoma,77.0,1.7,1
oklahoma state,77.0,0.9,1
old dominion,77.0,1.3,0
oral roberts,77.0,1.7,0
oregon,77.0,1.5,1
oregon state,77.0,1.7,0
pacific,76.0,0.9,1
pennsylvania,76.0,1.0,0
penn state,77.0,1.3,0
pepperdine,77.0,1.0,0
pittsburgh,78.0,1.9,1
portland,77.0,1.3,0
portland state,75.0,1.3,0
prairie view,78.0,1.2,0
presbyterian,77.0,1.5,0
princeton,79.0,2.0,0
providence,77.0,1.5,0
purdue,77.0,1.1,0
quinnipiac,76.0,1.4,0
radford,75.0,0.7,0
rhode island,77.0,1.5,0
rice,75.0,0.8,0
richmond,76.0,1.5,0
rider,77.0,1.6,0
robert morris,76.0,1.7,0
rutgers,76.0,1.6,0
sacramento state,76.0,1.4,0
sacred heart,76.0,1.6,0
saint josephs,77.0,2.0,0
saint louis,77.0,2.2,1
saint marys ca,77.0,2.0,1
saint peters,76.0,2.2,0
sam houston state,75.0,0.6,0
samford,77.0,0.6,0
san diego,76.0,1.7,0
san diego state,78.0,1.6,1
san francisco,78.0,0.9,0
san jose state,77.0,1.2,0
santa clara,77.0,2.4,0
savannah state,76.0,2.0,0
seattle,77.0,1.0,0
seton hall,78.0,1.7,0
siena,76.0,1.2,0
southern illinois edwardsville,76.0,1.7,0
southern methodist,78.0,1.4,0
south alabama,75.0,1.4,0
south carolina,75.0,1.5,0
south carolina state,76.0,0.7,0
south dakota,76.0,1.1,0
south dakota state,78.0,2.2,1
south florida,78.0,1.7,0
southeast missouri state,76.0,1.7,0
southeastern louisiana,75.0,1.6,0
southern,77.0,1.5,1
southern illinois,75.0,1.3,0
southern mississippi,75.0,0.6,0
st bonaventure,77.0,1.9,0
st francis ny,75.0,1.5,0
saint francis pa,75.0,1.1,0
st johns ny,78.0,0.6,0
stanford,78.0,1.6,0
stephen f austin,75.0,1.1,0
stetson,77.0,2.1,0
stony brook,76.0,1.7,0
syracuse,79.0,1.7,1
texas christian,77.0,1.2,0
temple,78.0,2.5,1
tennessee,77.0,1.6,0
tennessee martin,77.0,0.7,0
tennessee state,77.0,2.2,0
tennessee tech,76.0,1.7,0
texas,77.0,0.4,0
texas am,77.0,1.5,0
texas am corpus christi,75.0,0.5,0
texas southern,74.0,1.8,0
texas state,77.0,1.0,0
texas tech,77.0,0.5,0
citadel,76.0,0.9,0
toledo,76.0,1.6,0
towson,78.0,1.2,0
troy,76.0,0.4,0
tulane,76.0,2.0,0
tulsa,76.0,1.1,0
alabama birmingham,77.0,1.7,0
california davis,76.0,1.6,0
california irvine,76.0,2.1,0
california riverside,77.0,1.0,0
california santa barbara,76.0,0.9,0
central florida,78.0,1.6,0
ucla,78.0,1.1,1
maryland baltimore county,76.0,1.5,0
missouri kansas city,77.0,1.2,0
north carolina asheville,77.0,1.1,0
north carolina greensboro,76.0,1.6,0
north carolina wilmington,77.0,1.5,0
nevada las vegas,78.0,1.5,1
southern california,77.0,1.9,0
south carolina upstate,77.0,1.5,0
texas arlington,76.0,1.8,0
texas pan american,75.0,1.3,0
utah,76.0,1.4,0
utah state,77.0,0.7,0
utah valley,77.0,1.3,0
texas el paso,78.0,1.4,0
texas san antonio,75.0,1.1,0
valparaiso,76.0,2.8,1
vanderbilt,78.0,1.0,0
virginia commonwealth,77.0,1.7,1
vermont,77.0,1.8,0
villanova,78.0,1.3,1
virginia,78.0,1.2,0
virginia tech,78.0,1.6,0
virginia military institute,76.0,1.7,0
wake forest,77.0,0.9,0
washington,78.0,1.7,0
washington state,79.0,1.6,0
weber state,77.0,1.3,0
west virginia,77.0,1.3,0
western carolina,76.0,1.5,0
western illinois,77.0,1.4,0
western kentucky,76.0,1.2,1
western michigan,78.0,1.6,0
wichita state,77.0,1.1,1
william mary,77.0,1.8,0
winthrop,77.0,1.4,0
wisconsin,77.0,1.8,1
wofford,77.0,0.8,0
wright state,76.0,1.1,0
wyoming,76.0,1.0,0
xavier,77.0,1.7,0
yale,77.0,1.5,0
youngstown state,76.0,1.4,0
