School,Avg_Height,Avg_Experience,Postseason
eastern illinois,76.0,0.4,0
eastern kentucky,76.0,1.2,0
eastern michigan,78.0,1.9,0
eastern washington,76.0,1.6,0
elon,77.0,1.7,0
evansville,76.0,0.7,0
fairfield,77.0,1.0,0
fairleigh dickinson,76.0,1.7,1
florida international,76.0,1.0,0
florida,77.0,1.4,1
florida am,77.0,1.3,0
florida atlantic,77.0,0.7,0
florida gulf coast,77.0,1.7,0
florida state,79.0,2.0,1
fordham,76.0,1.1,0
fresno state,77.0,2.2,0
furman,76.0,1.5,0
gardner webb,75.0,1.9,1
george mason,76.0,1.6,0
george washington,77.0,1.3,0
georgetown,78.0,1.4,0
georgia,78.0,1.8,0
georgia southern,76.0,1.4,0
georgia state,77.0,2.2,1
georgia tech,78.0,1.2,0
gonzaga,78.0,2.0,1
grambling,78.0,1.2,0
grand canyon,79.0,1.5,0
green bay,77.0,1.5,0
hampton,76.0,2.2,0
hartford,76.0,2.6,0
harvard,78.0,1.4,0
hawaii,77.0,1.7,0
high point,76.0,1.8,0
hofstra,76.0,2.3,0
holy cross,76.0,1.6,0
houston,76.0,1.4,1
houston baptist,76.0,1.1,0
howard,77.0,1.0,0
idaho,77.0,0.7,0
idaho state,77.0,1.7,0
illinois,77.0,0.9,0
illinois chicago,77.0,1.3,0
illinois state,77.0,1.5,0
incarnate word,75.0,0.7,0
indiana,78.0,1.3,0
iona,77.0,1.4,1
iowa,78.0,1.6,1
iowa state,78.0,1.5,1
ipfw,77.0,1.6,0
iupui,77.0,1.6,0
jackson state,76.0,1.4,0
jacksonville,76.0,1.0,0
jacksonville state,76.0,2.0,0
james madison,78.0,1.2,0
kansas,77.0,1.1,1
kansas state,77.0,2.0,1
kennesaw state,77.0,1.5,0
kent state,76.0,1.6,0
kentucky,78.0,0.7,1
la salle,76.0,1.5,0
lafayette,77.0,1.3,0
lamar,76.0,1.7,0
lehigh,77.0,1.7,0
liberty,76.0,1.7,1
lipscomb,76.0,2.1,0
long island university,76.0,2.1,0
long beach state,78.0,1.7,0
longwood,77.0,1.1,0
louisiana lafayette,76.0,2.0,0
louisiana monroe,76.0,1.1,0
louisiana tech,76.0,1.1,0
louisville,77.0,2.2,1
loyola-il,77.0,1.6,0
loyola marymount,78.0,1.4,0
loyola md,76.0,1.4,0
maine,77.0,1.3,0
manhattan,77.0,0.7,0
marist,76.0,1.9,0
marquette,78.0,1.5,1
marshall,76.0,1.7,0
maryland,78.0,0.7,1
massachusetts lowell,77.0,1.2,0
maryland eastern shore,76.0,1.4,0
massachusetts,76.0,1.3,0
mcneese state,76.0,1.7,0
memphis,76.0,1.0,0
mercer,77.0,1.5,0
miami fl,76.0,2.0,0
miami oh,77.0,1.1,0
michigan,78.0,1.3,1
michigan state,78.0,1.8,1
middle tennessee,77.0,1.1,0
milwaukee,77.0,1.3,0
minnesota,78.0,1.7,1
mississippi,77.0,1.3,1
mississippi state,78.0,1.7,1
mississippi valley state,76.0,0.8,0
missouri,78.0,1.2,0
missouri state,77.0,1.5,0
monmouth,77.0,1.5,0
montana,76.0,2.3,1
montana state,77.0,1.7,0
morehead state,76.0,1.4,0
morgan state,75.0,1.4,0
mount st marys,76.0,0.3,0
murray state,77.0,0.8,1
navy,76.0,1.4,0
nebraska,77.0,2.2,0
nebraska omaha,77.0,2.1,0
nevada,78.0,2.7,1
new hampshire,76.0,1.2,0
new mexico,78.0,1.4,0
new mexico state,76.0,1.1,1
new orleans,76.0,1.1,0
niagara,76.0,1.8,0
nicholls state,76.0,0.8,0
njit,76.0,1.5,0
norfolk state,76.0,1.7,0
north carolina,79.0,1.9,1
north carolina at,76.0,1.6,0
north carolina central,76.0,1.9,1
north carolina state,77.0,1.7,0
north dakota,77.0,1.5,0
north dakota state,77.0,1.0,1
north florida,77.0,1.3,0
north texas,75.0,1.2,0
northeastern,77.0,2.3,1
northern arizona,77.0,0.6,0
northern colorado,76.0,1.2,0
northern illinois,77.0,1.6,0
northern iowa,77.0,1.7,0
northern kentucky,77.0,1.7,1
northwestern,79.0,2.0,0
northwestern state,76.0,1.2,0
notre dame,78.0,1.0,0
oakland,77.0,1.4,0
ohio,78.0,1.2,0
ohio state,77.0,1.3,1
oklahoma,78.0,2.2,1
old dominion,78.0,1.8,1
oral roberts,78.0,1.0,0
oregon,79.0,1.2,1
oregon state,78.0,1.6,0
pacific,76.0,1.1,0
pennsylvania,76.0,2.0,0
penn state,77.0,1.3,0
pepperdine,76.0,1.0,0
pittsburgh,77.0,0.9,0
portland,77.0,0.8,0
portland state,76.0,0.7,0
prairie view,75.0,0.8,1
presbyterian,75.0,1.3,0
princeton,77.0,1.5,0
providence,78.0,1.5,0
purdue,79.0,1.6,1
quinnipiac,77.0,1.4,0
radford,75.0,2.0,0
rhode island,76.0,1.1,0
rice,78.0,0.8,0
richmond,77.0,1.1,0
rider,77.0,2.1,0
robert morris,76.0,1.2,0
rutgers,79.0,0.9,0
sacramento state,76.0,1.4,0
sacred heart,76.0,1.0,0
saint josephs,76.0,1.5,0
saint louis,77.0,1.8,1
saint marys ca,78.0,1.4,1
saint peters,76.0,1.0,0
sam houston state,75.0,1.8,0
samford,77.0,1.2,0
san diego,77.0,2.1,0
san diego state,78.0,1.5,0
san francisco,77.0,2.0,0
san jose state,79.0,0.6,0
santa clara,79.0,1.1,0
seattle,77.0,1.3,0
seton hall,78.0,1.4,1
siena,79.0,1.5,0
southern illinois edwardsville,76.0,0.8,0
southern methodist,77.0,1.6,0
south alabama,76.0,1.7,0
south carolina,78.0,1.5,0
south carolina state,76.0,1.4,0
south dakota,76.0,1.8,0
south dakota state,77.0,1.9,0
south florida,78.0,0.9,0
southeast missouri state,76.0,0.6,0
southeastern louisiana,76.0,1.9,0
southern,76.0,1.3,0
southern illinois,77.0,2.2,0
southern mississippi,75.0,1.8,0
southern utah,77.0,1.0,0
st bonaventure,77.0,1.1,0
st francis ny,75.0,1.5,0
saint francis pa,76.0,2.0,0
st johns ny,77.0,1.6,1
stanford,79.0,1.0,0
stephen f austin,77.0,1.7,0
stetson,77.0,0.9,0
stony brook,77.0,0.8,0
syracuse,79.0,1.5,1
texas christian,78.0,1.6,0
temple,78.0,1.8,1
tennessee,78.0,2.2,1
tennessee martin,75.0,1.3,0
tennessee state,75.0,1.1,0
tennessee tech,77.0,1.1,0
texas,78.0,1.3,0
texas am,77.0,1.3,0
texas am corpus christi,76.0,1.9,0
texas southern,76.0,1.9,0
texas state,76.0,1.2,0
texas tech,77.0,1.8,1
citadel,76.0,2.2,0
toledo,78.0,1.8,0
towson,78.0,1.1,0
troy,77.0,1.4,0
tulane,79.0,1.3,0
tulsa,77.0,1.7,0
alabama birmingham,77.0,1.2,0
california davis,76.0,2.0,0
california irvine,77.0,2.1,1
california riverside,78.0,0.9,0
california santa barbara,77.0,1.3,0
central florida,79.0,2.2,1
ucla,79.0,0.7,0
maryland baltimore county,77.0,1.4,0
missouri kansas city,76.0,1.3,0
north carolina asheville,77.0,0.4,0
north carolina greensboro,76.0,1.8,0
north carolina wilmington,77.0,1.4,0
nevada las vegas,77.0,1.3,0
southern california,79.0,1.8,0
south carolina upstate,76.0,1.2,0
texas arlington,75.0,0.2,0
texas pan american,76.0,1.7,0
utah,78.0,1.4,0
utah state,78.0,1.4,1
utah valley,78.0,1.2,0
texas el paso,76.0,0.8,0
texas san antonio,76.0,1.4,0
valparaiso,77.0,1.5,0
vanderbilt,78.0,1.0,0
virginia commonwealth,77.0,1.4,1
vermont,77.0,1.6,1
villanova,78.0,1.8,1
virginia,77.0,1.6,1
virginia tech,77.0,1.8,1
virginia military institute,76.0,1.2,0
wagner,76.0,2.0,0
wake forest,78.0,1.1,0
washington,77.0,2.1,1
washington state,77.0,1.0,0
weber state,77.0,1.5,0
west virginia,78.0,1.3,0
western carolina,76.0,1.0,0
western illinois,76.0,1.4,0
western kentucky,78.0,1.1,0
western michigan,77.0,1.3,0
wichita state,77.0,0.7,0
william mary,78.0,1.2,0
winthrop,75.0,1.7,0
wisconsin,77.0,1.9,1
wofford,77.0,1.9,1
wright state,77.0,1.9,0
wyoming,78.0,0.9,0
xavier,79.0,1.5,0
yale,77.0,1.9,1
youngstown state,77.0,0.7,0
