School,Avg_Height,Avg_Experience,Postseason
abilene christian,76.0,2.0,1
air force,77.0,1.5,0
akron,76.0,1.5,0
alabama,78.0,1.8,0
alabama am,76.0,0.8,0
alabama state,76.0,1.1,0
albany-ny,77.0,0.6,0
alcorn state,77.0,1.4,0
american,77.0,1.1,0
appalachian state,77.0,1.7,0
arizona,77.0,1.8,0
arizona state,78.0,1.0,1
arkansas,77.0,0.5,0
arkansas little rock,76.0,1.1,0
arkansas pine bluff,77.0,1.0,0
arkansas state,76.0,1.1,0
army,75.0,1.8,0
auburn,77.0,1.7,1
austin peay,76.0,1.8,0
ball state,77.0,2.2,0
baylor,77.0,1.1,1
belmont,77.0,1.7,1
bethune cookman,76.0,1.2,0
binghamton,76.0,1.7,0
boise state,78.0,1.8,0
boston college,78.0,1.5,0
boston university,78.0,0.9,0
bowling green-state,77.0,1.6,0
bradley,77.0,1.9,1
brown,76.0,1.5,0
bryant,76.0,1.5,0
bucknell,77.0,1.9,0
buffalo,77.0,1.7,1
butler,77.0,1.9,0
brigham young,77.0,1.7,0
cal poly,77.0,1.2,0
cal state bakersfield,76.0,1.2,0
cal state northridge,76.0,0.4,0
california,77.0,0.8,0
campbell,75.0,1.6,0
canisius,77.0,1.4,0
central arkansas,78.0,1.3,0
central connecticut state,77.0,0.8,0
central michigan,76.0,1.7,0
charleston southern,76.0,0.8,0
charlotte,77.0,0.9,0
chattanooga,76.0,0.8,0
chicago state,77.0,0.8,0
cincinnati,77.0,1.8,1
clemson,78.0,2.2,0
cleveland state,77.0,0.8,0
coastal carolina,77.0,0.7,0
colgate,78.0,1.6,1
college of charleston,77.0,1.8,0
colorado,77.0,1.0,0
colorado state,76.0,1.1,0
columbia,76.0,1.7,0
connecticut,77.0,1.7,0
coppin state,77.0,1.1,0
cornell,77.0,1.7,0
creighton,77.0,1.5,0
dartmouth,76.0,1.4,0
davidson,78.0,1.1,0
dayton,77.0,1.3,0
delaware,77.0,1.5,0
delaware state,76.0,0.9,0
denver,77.0,1.7,0
depaul,78.0,1.8,0
detroit-mercy,77.0,1.2,0
drake,76.0,1.4,0
drexel,77.0,1.3,0
duke,79.0,0.7,1
duquesne,76.0,0.7,0
east carolina,77.0,1.0,0
east tennessee state,77.0,0.5,0
