School,Avg_Height,Avg_Experience,Postseason
abilene christian,74.0,0.6,0
air force,77.0,1.6,0
akron,77.0,1.3,0
alabama,77.0,1.6,0
alabama am,77.0,1.0,0
alabama state,75.0,1.7,0
albany-ny,77.0,1.2,1
alcorn state,77.0,0.9,0
american,76.0,2.2,0
appalachian state,76.0,1.6,0
arizona,78.0,1.5,1
arizona state,77.0,1.2,0
arkansas,78.0,1.6,1
arkansas little rock,75.0,1.6,0
arkansas pine bluff,76.0,1.5,0
arkansas state,76.0,0.7,0
army,77.0,1.9,0
auburn,76.0,1.6,0
austin peay,76.0,1.1,0
ball state,76.0,1.2,0
baylor,76.0,1.3,1
belmont,76.0,1.5,1
bethune cookman,75.0,1.9,0
binghamton,76.0,0.5,0
boise state,77.0,1.4,1
boston college,78.0,2.5,0
bowling green-state,76.0,1.5,0
bradley,77.0,1.2,0
brown,77.0,1.2,0
bryant,76.0,1.9,0
bucknell,76.0,1.4,0
buffalo,77.0,1.3,1
butler,77.0,2.0,1
brigham young,78.0,1.7,1
cal poly,77.0,1.7,0
cal state bakersfield,76.0,1.2,0
cal state fullerton,77.0,1.6,0
cal state northridge,77.0,2.1,0
california,78.0,1.8,0
campbell,76.0,1.8,0
canisius,76.0,1.0,0
central arkansas,77.0,0.2,0
central connecticut state,76.0,1.2,0
central michigan,77.0,1.4,0
charleston southern,75.0,1.8,0
charlotte,78.0,1.7,0
chattanooga,77.0,1.5,0
chicago state,76.0,0.8,0
cincinnati,78.0,1.1,1
clemson,77.0,1.7,0
cleveland state,75.0,2.0,0
coastal carolina,76.0,1.6,1
colgate,77.0,2.4,0
college of charleston,77.0,1.3,0
colorado,78.0,1.5,0
colorado state,78.0,1.7,0
columbia,77.0,1.7,0
connecticut,78.0,1.3,0
coppin state,75.0,1.4,0
cornell,76.0,1.7,0
creighton,77.0,1.7,0
dartmouth,76.0,1.9,0
davidson,76.0,1.3,1
dayton,76.0,1.5,1
delaware,77.0,1.0,0
