School,Avg_Height,Avg_Experience,Postseason
texas christian,78.0,1.2,0
temple,78.0,1.6,0
tennessee,77.0,1.0,0
tennessee martin,76.0,1.5,0
tennessee state,77.0,1.7,0
tennessee tech,76.0,1.5,0
texas,78.0,1.0,0
texas am,78.0,1.4,0
texas southern,74.0,0.7,1
texas state,76.0,0.9,0
texas tech,77.0,1.8,0
citadel,75.0,1.0,0
toledo,78.0,1.8,0
towson,77.0,1.4,0
troy,76.0,1.2,1
tulane,78.0,1.7,0
tulsa,77.0,1.0,0
alabama birmingham,77.0,1.9,0
california davis,76.0,1.7,1
california irvine,77.0,1.2,0
california riverside,77.0,0.9,0
california santa barbara,77.0,1.2,0
central florida,79.0,2.1,0
ucla,78.0,1.3,1
maryland baltimore county,75.0,1.6,0
missouri kansas city,75.0,1.0,0
north carolina asheville,76.0,1.9,0
north carolina greensboro,77.0,1.8,0
north carolina wilmington,76.0,1.7,1
nevada las vegas,78.0,1.1,0
southern california,78.0,1.1,1
south carolina upstate,77.0,1.6,0
texas arlington,76.0,1.9,0
texas pan american,76.0,1.0,0
utah,78.0,0.8,0
utah state,78.0,1.0,0
utah valley,77.0,1.1,0
texas el paso,77.0,1.8,0
texas san antonio,77.0,1.1,0
valparaiso,77.0,1.9,0
vanderbilt,78.0,1.8,1
virginia commonwealth,76.0,2.0,1
vermont,77.0,2.1,1
villanova,78.0,1.8,1
virginia,77.0,1.6,1
virginia tech,77.0,1.7,1
virginia military institute,76.0,1.8,0
wagner,76.0,1.4,0
wake forest,77.0,1.4,1
washington,77.0,0.7,0
washington state,77.0,1.6,0
weber state,76.0,1.7,0
west virginia,78.0,1.8,1
western carolina,77.0,1.1,0
western illinois,77.0,1.5,0
western kentucky,77.0,2.2,0
western michigan,78.0,1.2,0
wichita state,77.0,1.3,1
william mary,78.0,1.9,0
winthrop,75.0,2.0,1
wisconsin,78.0,2.1,1
wofford,77.0,1.8,0
wright state,77.0,1.9,0
wyoming,78.0,1.5,0
xavier,78.0,1.8,1
yale,78.0,1.3,0
youngstown state,77.0,1.3,0
