School,Avg_Height,Avg_Experience,Postseason
abilene christian,76.0,1.0,0
air force,76.0,1.9,0
akron,77.0,1.8,0
alabama,78.0,1.5,0
alabama am,75.0,1.3,0
alabama state,76.0,1.6,0
albany-ny,77.0,1.4,0
alcorn state,76.0,1.1,0
american,77.0,1.3,0
appalachian state,77.0,1.0,0
arizona,78.0,0.7,1
arizona state,76.0,1.2,0
arkansas,77.0,1.7,1
arkansas little rock,76.0,1.7,0
arkansas pine bluff,77.0,0.9,0
arkansas state,75.0,0.7,0
army,76.0,1.3,0
auburn,77.0,0.8,0
austin peay,76.0,1.3,0
ball state,78.0,1.7,0
baylor,78.0,1.6,1
belmont,78.0,2.1,0
bethune cookman,76.0,0.3,0
binghamton,76.0,1.6,0
boise state,78.0,1.3,0
boston college,78.0,1.3,0
bowling green-state,76.0,1.4,0
bradley,77.0,0.8,0
brown,76.0,1.6,0
bryant,76.0,1.1,0
bucknell,76.0,1.4,1
buffalo,77.0,1.2,0
butler,76.0,1.9,1
brigham young,78.0,1.1,0
cal poly,75.0,1.4,0
cal state bakersfield,75.0,1.2,0
cal state fullerton,76.0,1.1,0
cal state northridge,78.0,1.9,0
california,78.0,1.9,0
campbell,76.0,1.0,0
canisius,76.0,1.4,0
central arkansas,76.0,1.5,0
central connecticut state,76.0,1.6,0
central michigan,76.0,1.8,0
charleston southern,76.0,1.0,0
charlotte,76.0,1.4,0
chattanooga,76.0,1.9,0
chicago state,76.0,1.5,0
cincinnati,78.0,1.7,1
clemson,78.0,2.1,0
cleveland state,77.0,1.3,0
coastal carolina,76.0,1.5,0
colgate,77.0,1.5,0
college of charleston,77.0,1.2,0
colorado,78.0,1.6,0
colorado state,77.0,0.8,0
columbia,77.0,1.5,0
connecticut,78.0,1.6,0
coppin state,77.0,0.6,0
cornell,76.0,1.6,0
creighton,77.0,1.7,1
dartmouth,76.0,1.4,0
davidson,77.0,1.7,0
dayton,77.0,2.2,1
delaware,77.0,1.6,0
delaware state,76.0,1.5,0
denver,77.0,1.2,0
depaul,78.0,1.2,0
detroit-mercy,76.0,1.2,0
drake,76.0,1.3,0
drexel,76.0,1.6,0
duke,78.0,1.6,1
duquesne,77.0,1.2,0
east carolina,78.0,1.4,0
east tennessee state,77.0,1.5,1
eastern illinois,75.0,0.8,0
eastern kentucky,76.0,1.0,0
eastern michigan,78.0,1.5,0
eastern washington,77.0,1.5,0
elon,77.0,1.6,0
evansville,77.0,1.9,0
fairfield,76.0,1.5,0
fairleigh dickinson,76.0,1.4,0
florida international,77.0,1.2,0
florida,77.0,1.8,1
florida am,76.0,0.5,0
florida atlantic,78.0,1.2,0
florida gulf coast,76.0,1.7,1
florida state,79.0,1.1,1
fordham,77.0,1.4,0
fresno state,77.0,1.9,0
furman,75.0,1.7,0
gardner webb,76.0,1.0,0
george mason,76.0,1.3,0
george washington,78.0,1.3,0
georgetown,78.0,1.5,0
georgia,77.0,1.6,0
georgia southern,76.0,1.4,0
georgia state,77.0,1.8,0
georgia tech,77.0,1.8,0
gonzaga,78.0,2.0,1
grambling,75.0,1.2,0
grand canyon,76.0,1.3,0
green bay,77.0,1.8,0
hampton,76.0,1.2,0
hartford,76.0,1.3,0
harvard,77.0,1.0,0
hawaii,77.0,0.9,0
high point,76.0,1.5,0
hofstra,76.0,1.6,0
holy cross,76.0,2.2,0
houston,77.0,1.7,0
houston baptist,77.0,2.0,0
howard,77.0,2.3,0
idaho,77.0,1.5,0
idaho state,76.0,1.0,0
illinois,78.0,2.1,0
illinois chicago,77.0,0.5,0
illinois state,77.0,1.6,0
incarnate word,76.0,1.1,0
indiana,77.0,1.2,0
indiana state,76.0,1.4,0
iona,76.0,1.5,1
iowa,78.0,1.0,0
iowa state,76.0,2.5,1
ipfw,76.0,1.7,0
iupui,76.0,2.1,0
jackson state,76.0,1.5,0
jacksonville,76.0,1.6,0
jacksonville state,77.0,1.0,1
james madison,78.0,2.3,0
kansas,77.0,1.8,1
kansas state,77.0,1.4,1
kennesaw state,77.0,1.6,0
kent state,76.0,1.3,1
kentucky,77.0,0.8,1
la salle,77.0,2.0,0
lafayette,77.0,1.2,0
lamar,75.0,1.2,0
lehigh,76.0,1.6,0
liberty,76.0,1.2,0
lipscomb,76.0,1.4,0
long island university,75.0,1.5,0
long beach state,75.0,1.4,0
longwood,77.0,1.4,0
louisiana lafayette,76.0,1.3,0
louisiana monroe,76.0,1.0,0
louisiana tech,78.0,1.3,0
louisville,78.0,1.6,1
loyola-il,76.0,1.3,0
loyola marymount,77.0,1.5,0
loyola md,76.0,1.7,0
louisiana state,78.0,0.9,0
maine,76.0,0.9,0
manhattan,76.0,1.3,0
marist,77.0,1.4,0
marquette,77.0,1.7,1
marshall,77.0,1.6,0
maryland,77.0,1.1,1
massachusetts lowell,76.0,1.5,0
maryland eastern shore,76.0,1.2,0
massachusetts,77.0,1.1,0
mcneese state,76.0,1.3,0
memphis,78.0,1.1,0
mercer,77.0,1.4,0
miami fl,78.0,1.5,1
miami oh,78.0,0.9,0
michigan,78.0,2.0,1
michigan state,76.0,1.0,1
middle tennessee,77.0,1.6,1
milwaukee,76.0,1.1,0
minnesota,78.0,1.3,1
mississippi,77.0,1.4,0
mississippi state,77.0,0.7,0
mississippi valley state,75.0,1.2,0
missouri,76.0,0.8,0
missouri state,76.0,0.9,0
monmouth,76.0,2.1,0
montana,76.0,1.5,0
montana state,77.0,0.6,0
morehead state,76.0,1.3,0
morgan state,77.0,0.8,0
mount st marys,75.0,1.5,1
murray state,76.0,1.3,0
navy,76.0,1.7,0
nebraska,78.0,1.2,0
nebraska omaha,77.0,1.5,0
nevada,78.0,1.6,1
new hampshire,76.0,2.0,0
new mexico,78.0,1.6,0
new mexico state,77.0,1.4,1
new orleans,76.0,1.8,1
niagara,76.0,1.2,0
nicholls state,76.0,1.6,0
njit,76.0,1.7,0
norfolk state,77.0,1.1,0
north carolina,78.0,1.9,1
north carolina at,76.0,1.3,0
north carolina central,76.0,2.0,1
north carolina state,78.0,1.2,0
north dakota,76.0,1.5,1
north dakota state,77.0,1.7,0
north florida,77.0,1.6,0
north texas,77.0,1.2,0
northeastern,78.0,1.7,0
northern arizona,77.0,1.5,0
northern colorado,76.0,0.7,0
northern illinois,77.0,1.5,0
northern iowa,77.0,1.3,0
northern kentucky,77.0,1.0,1
northwestern,78.0,1.8,1
northwestern state,76.0,1.7,0
notre dame,77.0,2.0,1
oakland,76.0,1.7,0
ohio,77.0,1.3,0
ohio state,78.0,1.6,0
oklahoma,78.0,0.9,0
oklahoma state,76.0,1.7,1
old dominion,77.0,1.6,0
oral roberts,76.0,1.4,0
oregon,77.0,1.7,1
oregon state,78.0,0.6,0
pacific,77.0,1.7,0
pennsylvania,76.0,1.2,0
penn state,78.0,1.1,0
pepperdine,76.0,1.6,0
pittsburgh,79.0,2.4,0
portland,77.0,1.5,0
portland state,76.0,1.2,0
prairie view,75.0,1.1,0
presbyterian,76.0,1.6,0
princeton,77.0,2.0,1
providence,78.0,1.1,1
purdue,77.0,1.6,1
quinnipiac,77.0,0.7,0
radford,76.0,0.7,0
rhode island,77.0,1.9,1
rice,77.0,1.1,0
richmond,75.0,1.8,0
rider,76.0,1.9,0
robert morris,76.0,1.2,0
rutgers,78.0,1.4,0
sacramento state,76.0,1.9,0
sacred heart,76.0,1.3,0
saint josephs,77.0,1.2,0
saint louis,77.0,1.4,0
saint marys ca,78.0,2.0,1
saint peters,76.0,2.1,0
sam houston state,75.0,1.7,0
samford,77.0,1.3,0
san diego,77.0,1.1,0
san diego state,78.0,2.0,0
san francisco,78.0,0.7,0
san jose state,78.0,1.3,0
santa clara,77.0,2.0,0
savannah state,76.0,0.4,0
seattle,78.0,1.3,0
seton hall,77.0,1.8,1
siena,77.0,2.3,0
southern illinois edwardsville,77.0,1.2,0
southern methodist,78.0,1.9,1
south alabama,77.0,1.5,0
south carolina,77.0,1.4,1
south carolina state,76.0,1.2,0
south dakota,76.0,1.0,0
south dakota state,77.0,1.7,1
south florida,78.0,1.0,0
southeast missouri state,76.0,1.2,0
southeastern louisiana,76.0,1.0,0
southern,77.0,1.6,0
southern illinois,76.0,1.4,0
southern mississippi,76.0,1.1,0
southern utah,77.0,1.4,0
st bonaventure,77.0,1.8,0
st francis ny,75.0,1.1,0
saint francis pa,75.0,0.9,0
st johns ny,77.0,0.6,0
stanford,78.0,2.0,0
stephen f austin,77.0,0.9,0
stetson,76.0,1.7,0
stony brook,77.0,1.6,0
syracuse,78.0,1.7,0
