,School,Avg_Height,Avg_Experience
297,alabama birmingham,77.0,1.7
298,california davis,76.0,1.6
299,california irvine,76.0,2.1
300,california riverside,77.0,1.0
301,california santa barbara,76.0,0.9
302,central florida,78.0,1.6
303,ucla,78.0,1.1
304,maryland baltimore county,76.0,1.5
305,missouri kansas city,77.0,1.2
306,north carolina asheville,77.0,1.1
307,north carolina greensboro,76.0,1.6
308,north carolina wilmington,77.0,1.5
309,nevada las vegas,78.0,1.5
310,southern california,77.0,1.9
311,south carolina upstate,77.0,1.5
312,texas arlington,76.0,1.8
313,texas pan american,75.0,1.3
314,utah,76.0,1.4
315,utah state,77.0,0.7
316,utah valley,77.0,1.3
317,texas el paso,78.0,1.4
318,texas san antonio,75.0,1.1
319,valparaiso,76.0,2.8
320,vanderbilt,78.0,1.0
321,virginia commonwealth,77.0,1.7
322,vermont,77.0,1.8
323,villanova,78.0,1.3
324,virginia,78.0,1.2
325,virginia tech,78.0,1.6
326,virginia military institute,76.0,1.7
328,wake forest,77.0,0.9
329,washington,78.0,1.7
330,washington state,79.0,1.6
331,weber state,77.0,1.3
332,west virginia,77.0,1.3
333,western carolina,76.0,1.5
334,western illinois,77.0,1.4
335,western kentucky,76.0,1.2
336,western michigan,78.0,1.6
337,wichita state,77.0,1.1
338,william mary,77.0,1.8
339,winthrop,77.0,1.4
340,wisconsin,77.0,1.8
341,wofford,77.0,0.8
342,wright state,76.0,1.1
343,wyoming,76.0,1.0
344,xavier,77.0,1.7
345,yale,77.0,1.5
346,youngstown state,76.0,1.4
