,School,Avg_Height,Avg_Experience
0,abilene christian,75.0,0.8
1,air force,77.0,1.4
2,akron,77.0,1.8
3,alabama,77.0,1.6
4,alabama am,76.0,1.3
5,alabama state,75.0,1.7
6,albany-ny,77.0,1.7
7,alcorn state,77.0,1.6
8,american,77.0,1.5
9,appalachian state,76.0,1.5
10,arizona,78.0,1.8
11,arizona state,77.0,1.1
12,arkansas,77.0,1.8
13,arkansas little rock,76.0,1.4
14,arkansas pine bluff,78.0,1.0
15,arkansas state,77.0,1.0
16,army,78.0,2.2
17,auburn,78.0,1.2
18,austin peay,76.0,0.9
19,ball state,77.0,1.7
20,baylor,77.0,1.5
21,belmont,77.0,1.6
22,bethune cookman,75.0,1.7
23,binghamton,76.0,0.8
24,boise state,78.0,2.1
25,boston college,78.0,1.4
26,boston university,77.0,1.7
27,bowling green-state,77.0,1.2
28,bradley,78.0,0.3
29,brown,77.0,1.5
30,bryant,76.0,1.4
31,bucknell,76.0,1.7
32,buffalo,77.0,1.0
33,butler,77.0,2.2
34,brigham young,78.0,1.7
35,cal poly,77.0,1.8
36,cal state bakersfield,75.0,0.8
37,cal state fullerton,76.0,0.8
38,cal state northridge,77.0,1.3
39,california,79.0,1.4
40,campbell,75.0,1.4
41,canisius,76.0,1.9
42,central arkansas,77.0,0.9
43,central connecticut state,77.0,1.0
44,central michigan,76.0,2.2
45,charleston southern,76.0,1.3
46,charlotte,76.0,0.8
47,chattanooga,77.0,1.8
48,chicago state,76.0,0.8
49,cincinnati,78.0,1.5
50,clemson,77.0,2.0
51,cleveland state,77.0,1.1
52,coastal carolina,76.0,1.9
53,colgate,76.0,1.3
54,college of charleston,77.0,0.8
55,colorado,78.0,1.8
56,colorado state,76.0,1.8
57,columbia,77.0,2.0
58,connecticut,78.0,1.9
59,coppin state,77.0,0.5
60,cornell,76.0,1.2
61,creighton,77.0,1.5
62,dartmouth,76.0,1.6
63,davidson,75.0,1.7
64,dayton,77.0,1.5
65,delaware,77.0,1.7
66,delaware state,76.0,0.9
67,denver,76.0,1.2
68,depaul,78.0,1.4
69,detroit-mercy,77.0,1.4
70,drake,77.0,1.1
71,drexel,77.0,1.6
72,duke,79.0,1.1
73,duquesne,76.0,1.9
74,east carolina,78.0,1.4
75,east tennessee state,76.0,2.0
76,eastern illinois,74.0,0.6
77,eastern kentucky,77.0,1.4
78,eastern michigan,77.0,0.9
79,eastern washington,76.0,1.7
80,elon,77.0,1.2
81,evansville,76.0,2.4
82,fairfield,77.0,1.1
83,fairleigh dickinson,76.0,0.7
84,florida international,77.0,1.0
85,florida,78.0,1.2
86,florida am,76.0,0.6
87,florida atlantic,77.0,1.2
88,florida gulf coast,77.0,1.3
89,florida state,79.0,1.2
90,fordham,76.0,1.4
91,fresno state,77.0,1.9
92,furman,76.0,1.5
93,gardner webb,76.0,1.4
94,george mason,77.0,1.0
95,george washington,78.0,2.2
96,georgetown,78.0,1.4
97,georgia,77.0,1.7
