,School,Avg_Height,Avg_Experience
214,oakland,76.0,2.2
215,ohio,77.0,1.6
216,ohio state,77.0,1.8
217,oklahoma,78.0,1.2
218,oklahoma state,78.0,2.2
219,old dominion,78.0,1.6
220,oral roberts,77.0,1.4
221,oregon,78.0,1.3
222,oregon state,78.0,1.5
223,pacific,77.0,1.0
224,pennsylvania,76.0,1.6
225,penn state,78.0,1.6
226,pepperdine,76.0,1.0
227,pittsburgh,77.0,0.4
228,portland,78.0,0.8
229,portland state,76.0,1.0
230,prairie view,76.0,0.9
231,presbyterian,76.0,1.8
232,princeton,77.0,1.8
233,providence,78.0,1.8
234,purdue,78.0,2.1
235,quinnipiac,77.0,1.6
236,radford,75.0,1.1
237,rhode island,76.0,2.2
238,rice,77.0,1.3
239,richmond,75.0,1.2
240,rider,76.0,1.0
241,robert morris,76.0,0.6
242,rutgers,78.0,1.3
243,sacramento state,75.0,1.1
244,sacred heart,76.0,1.7
245,saint josephs,77.0,1.6
246,saint louis,77.0,1.5
247,saint marys ca,78.0,2.3
248,saint peters,75.0,1.5
249,sam houston state,76.0,1.4
250,samford,75.0,2.0
251,san diego,77.0,1.7
252,san diego state,78.0,1.6
253,san francisco,78.0,1.4
254,san jose state,79.0,1.3
255,santa clara,77.0,2.1
256,savannah state,76.0,1.4
257,seattle,79.0,2.1
258,seton hall,78.0,2.0
259,siena,77.0,0.9
260,southern illinois edwardsville,76.0,1.1
261,southern methodist,76.0,1.5
262,south alabama,76.0,1.1
263,south carolina,78.0,1.3
264,south carolina state,75.0,0.7
265,south dakota,77.0,1.6
266,south dakota state,77.0,1.9
267,south florida,78.0,2.0
268,southeast missouri state,76.0,0.6
269,southeastern louisiana,75.0,2.3
270,southern,77.0,1.3
271,southern illinois,77.0,1.9
272,southern mississippi,74.0,1.6
273,southern utah,77.0,1.6
274,st bonaventure,76.0,1.9
275,st francis ny,75.0,1.0
276,saint francis pa,75.0,1.5
277,st johns ny,78.0,1.4
278,stanford,79.0,1.5
279,stephen f austin,77.0,1.3
280,stetson,75.0,2.0
281,stony brook,77.0,1.2
282,syracuse,80.0,0.9
283,texas christian,78.0,1.6
284,temple,78.0,1.9
285,tennessee,77.0,1.4
286,tennessee martin,76.0,1.2
287,tennessee state,77.0,1.4
288,tennessee tech,77.0,2.4
289,texas,78.0,1.0
290,texas am,78.0,1.6
291,texas am corpus christi,76.0,1.3
293,texas state,77.0,0.6
294,texas tech,77.0,1.5
295,citadel,75.0,1.0
296,toledo,78.0,1.5
297,towson,77.0,1.7
298,troy,76.0,1.5
299,tulane,78.0,1.8
300,tulsa,77.0,1.5
301,alabama birmingham,77.0,1.6
302,california davis,75.0,1.5
303,california irvine,77.0,1.2
304,california riverside,77.0,1.7
305,california santa barbara,77.0,2.1
306,central florida,78.0,1.6
307,ucla,79.0,1.4
308,maryland baltimore county,76.0,1.8
309,missouri kansas city,75.0,0.8
310,north carolina asheville,77.0,2.1
311,north carolina greensboro,77.0,1.9
312,north carolina wilmington,76.0,1.5
313,nevada las vegas,77.0,0.5
314,southern california,78.0,1.9
315,south carolina upstate,76.0,1.8
316,texas arlington,77.0,2.4
317,texas pan american,76.0,1.6
318,utah,77.0,1.8
319,utah state,78.0,0.9
320,utah valley,77.0,2.0
321,texas el paso,77.0,1.6
322,texas san antonio,76.0,1.1
323,valparaiso,77.0,1.3
324,vanderbilt,77.0,1.7
325,virginia commonwealth,77.0,1.4
326,vermont,77.0,2.2
327,villanova,78.0,1.6
328,virginia,78.0,1.7
329,virginia tech,77.0,1.6
330,virginia military institute,75.0,0.9
331,wagner,75.0,1.7
332,wake forest,77.0,1.5
333,washington,77.0,1.3
334,washington state,77.0,1.3
335,weber state,77.0,1.4
336,west virginia,78.0,1.7
337,western carolina,76.0,1.4
338,western illinois,76.0,1.3
339,western kentucky,77.0,1.7
340,western michigan,78.0,1.9
341,wichita state,78.0,2.2
342,william mary,78.0,1.9
343,winthrop,76.0,1.7
344,wisconsin,78.0,1.2
345,wofford,76.0,1.5
346,wright state,77.0,1.4
347,wyoming,78.0,1.8
348,xavier,78.0,1.8
349,yale,77.0,1.2
350,youngstown state,77.0,1.0
