,School,Avg_Height,Avg_Experience
281,stony brook,77.0,1.0
282,syracuse,78.0,1.5
283,texas christian,78.0,1.7
284,temple,78.0,1.9
285,tennessee,78.0,1.2
286,tennessee martin,75.0,1.1
287,tennessee state,76.0,0.5
288,tennessee tech,77.0,1.1
289,texas,77.0,1.6
290,texas am,78.0,1.8
291,texas am corpus christi,75.0,1.7
292,texas southern,76.0,1.1
293,texas state,76.0,1.3
294,texas tech,77.0,0.7
295,citadel,76.0,2.0
296,toledo,76.0,2.0
297,towson,77.0,1.2
298,troy,76.0,0.9
299,tulane,77.0,1.5
300,tulsa,77.0,1.9
301,alabama birmingham,77.0,0.8
302,california davis,76.0,2.3
303,california irvine,77.0,2.2
304,california riverside,76.0,1.4
305,california santa barbara,76.0,1.5
306,central florida,77.0,1.1
307,ucla,78.0,1.0
308,maryland baltimore county,77.0,1.1
309,missouri kansas city,76.0,0.8
310,north carolina asheville,76.0,1.3
311,north carolina greensboro,77.0,1.5
312,north carolina wilmington,77.0,2.0
313,nevada las vegas,79.0,1.0
314,southern california,78.0,0.7
315,south carolina upstate,77.0,1.7
316,texas arlington,76.0,1.0
317,texas pan american,77.0,0.8
318,utah,78.0,1.1
319,utah state,77.0,0.3
320,utah valley,76.0,0.9
321,texas el paso,78.0,1.9
322,texas san antonio,77.0,0.9
323,valparaiso,78.0,0.9
324,vanderbilt,78.0,0.7
325,virginia commonwealth,77.0,1.4
326,vermont,77.0,1.0
327,villanova,77.0,1.9
328,virginia,78.0,1.6
329,virginia tech,77.0,0.8
330,virginia military institute,75.0,1.7
331,wagner,76.0,0.9
332,wake forest,78.0,1.2
333,washington,78.0,1.4
334,washington state,78.0,1.7
335,weber state,77.0,1.0
336,west virginia,76.0,1.0
337,western carolina,76.0,1.9
338,western illinois,77.0,0.7
339,western kentucky,77.0,1.7
340,western michigan,78.0,2.0
341,wichita state,76.0,1.5
342,william mary,78.0,1.5
343,winthrop,75.0,1.2
344,wisconsin,79.0,2.1
345,wofford,76.0,2.0
346,wright state,76.0,1.2
347,wyoming,77.0,2.1
348,xavier,77.0,1.6
349,yale,77.0,2.2
350,youngstown state,75.0,1.7
