,School,Avg_Height,Avg_Experience
0,abilene christian,75.0,0.1
1,air force,77.0,1.5
2,akron,78.0,1.5
3,alabama,77.0,1.5
4,alabama am,75.0,2.1
6,albany-ny,77.0,1.6
7,alcorn state,78.0,0.7
8,american,76.0,1.7
9,appalachian state,76.0,1.4
10,arizona,78.0,1.0
11,arizona state,77.0,1.6
12,arkansas,77.0,1.6
13,arkansas little rock,76.0,1.2
14,arkansas pine bluff,76.0,1.3
15,arkansas state,77.0,2.5
16,army,77.0,1.1
17,auburn,77.0,1.4
18,austin peay,76.0,1.0
19,ball state,76.0,1.2
20,baylor,78.0,1.6
21,belmont,77.0,1.7
22,bethune cookman,76.0,1.0
24,boise state,77.0,2.0
25,boston college,78.0,1.4
27,bowling green-state,77.0,1.7
28,bradley,77.0,1.5
29,brown,77.0,0.9
30,bryant,76.0,2.0
31,bucknell,77.0,2.0
32,buffalo,77.0,1.8
33,butler,77.0,1.6
34,brigham young,78.0,1.3
35,cal poly,76.0,1.6
36,cal state bakersfield,75.0,1.7
37,cal state fullerton,76.0,1.4
38,cal state northridge,76.0,1.6
39,california,78.0,1.6
40,campbell,77.0,1.4
41,canisius,77.0,1.7
42,central arkansas,76.0,0.9
44,central michigan,76.0,0.9
45,charleston southern,75.0,1.9
46,charlotte,77.0,1.6
47,chattanooga,76.0,1.3
48,chicago state,76.0,1.3
49,cincinnati,78.0,1.6
50,clemson,77.0,1.2
51,cleveland state,76.0,1.8
52,coastal carolina,77.0,0.9
53,colgate,77.0,1.8
54,college of charleston,78.0,1.7
55,colorado,78.0,0.9
56,colorado state,78.0,1.2
57,columbia,77.0,1.3
58,connecticut,78.0,2.0
59,coppin state,76.0,1.2
60,cornell,76.0,1.3
61,creighton,77.0,2.4
62,dartmouth,76.0,1.3
63,davidson,76.0,1.8
64,dayton,77.0,1.6
65,delaware,77.0,1.7
66,delaware state,76.0,1.3
67,denver,76.0,1.6
68,depaul,78.0,1.5
69,detroit-mercy,77.0,1.3
71,drexel,78.0,2.1
72,duke,78.0,1.4
