,School,Avg_Height,Avg_Experience
261,southern methodist,77.0,1.6
262,south alabama,76.0,1.7
263,south carolina,78.0,1.5
264,south carolina state,76.0,1.4
265,south dakota,76.0,1.8
266,south dakota state,77.0,1.9
267,south florida,78.0,0.9
268,southeast missouri state,76.0,0.6
269,southeastern louisiana,76.0,1.9
270,southern,76.0,1.3
271,southern illinois,77.0,2.2
272,southern mississippi,75.0,1.8
273,southern utah,77.0,1.0
274,st bonaventure,77.0,1.1
275,st francis ny,75.0,1.5
276,saint francis pa,76.0,2.0
277,st johns ny,77.0,1.6
278,stanford,79.0,1.0
279,stephen f austin,77.0,1.7
280,stetson,77.0,0.9
281,stony brook,77.0,0.8
282,syracuse,79.0,1.5
283,texas christian,78.0,1.6
284,temple,78.0,1.8
285,tennessee,78.0,2.2
286,tennessee martin,75.0,1.3
287,tennessee state,75.0,1.1
288,tennessee tech,77.0,1.1
289,texas,78.0,1.3
290,texas am,77.0,1.3
291,texas am corpus christi,76.0,1.9
292,texas southern,76.0,1.9
293,texas state,76.0,1.2
294,texas tech,77.0,1.8
295,citadel,76.0,2.2
296,toledo,78.0,1.8
297,towson,78.0,1.1
298,troy,77.0,1.4
299,tulane,79.0,1.3
300,tulsa,77.0,1.7
301,alabama birmingham,77.0,1.2
302,california davis,76.0,2.0
303,california irvine,77.0,2.1
304,california riverside,78.0,0.9
305,california santa barbara,77.0,1.3
306,central florida,79.0,2.2
307,ucla,79.0,0.7
308,maryland baltimore county,77.0,1.4
309,missouri kansas city,76.0,1.3
310,north carolina asheville,77.0,0.4
311,north carolina greensboro,76.0,1.8
312,north carolina wilmington,77.0,1.4
313,nevada las vegas,77.0,1.3
314,southern california,79.0,1.8
315,south carolina upstate,76.0,1.2
316,texas arlington,75.0,0.2
317,texas pan american,76.0,1.7
318,utah,78.0,1.4
319,utah state,78.0,1.4
320,utah valley,78.0,1.2
321,texas el paso,76.0,0.8
322,texas san antonio,76.0,1.4
323,valparaiso,77.0,1.5
324,vanderbilt,78.0,1.0
325,virginia commonwealth,77.0,1.4
326,vermont,77.0,1.6
327,villanova,78.0,1.8
328,virginia,77.0,1.6
329,virginia tech,77.0,1.8
330,virginia military institute,76.0,1.2
331,wagner,76.0,2.0
332,wake forest,78.0,1.1
333,washington,77.0,2.1
334,washington state,77.0,1.0
335,weber state,77.0,1.5
336,west virginia,78.0,1.3
337,western carolina,76.0,1.0
338,western illinois,76.0,1.4
339,western kentucky,78.0,1.1
340,western michigan,77.0,1.3
341,wichita state,77.0,0.7
342,william mary,78.0,1.2
343,winthrop,75.0,1.7
344,wisconsin,77.0,1.9
345,wofford,77.0,1.9
346,wright state,77.0,1.9
347,wyoming,78.0,0.9
348,xavier,79.0,1.5
349,yale,77.0,1.9
350,youngstown state,77.0,0.7
