,School,Avg_Height,Avg_Experience
0,abilene christian,76.0,1.0
1,air force,76.0,1.9
2,akron,77.0,1.8
3,alabama,78.0,1.5
4,alabama am,75.0,1.3
5,alabama state,76.0,1.6
6,albany-ny,77.0,1.4
7,alcorn state,76.0,1.1
8,american,77.0,1.3
9,appalachian state,77.0,1.0
10,arizona,78.0,0.7
11,arizona state,76.0,1.2
12,arkansas,77.0,1.7
13,arkansas little rock,76.0,1.7
14,arkansas pine bluff,77.0,0.9
15,arkansas state,75.0,0.7
16,army,76.0,1.3
17,auburn,77.0,0.8
18,austin peay,76.0,1.3
19,ball state,78.0,1.7
20,baylor,78.0,1.6
21,belmont,78.0,2.1
22,bethune cookman,76.0,0.3
23,binghamton,76.0,1.6
24,boise state,78.0,1.3
25,boston college,78.0,1.3
27,bowling green-state,76.0,1.4
28,bradley,77.0,0.8
29,brown,76.0,1.6
30,bryant,76.0,1.1
31,bucknell,76.0,1.4
32,buffalo,77.0,1.2
33,butler,76.0,1.9
34,brigham young,78.0,1.1
35,cal poly,75.0,1.4
36,cal state bakersfield,75.0,1.2
37,cal state fullerton,76.0,1.1
38,cal state northridge,78.0,1.9
39,california,78.0,1.9
40,campbell,76.0,1.0
41,canisius,76.0,1.4
42,central arkansas,76.0,1.5
43,central connecticut state,76.0,1.6
44,central michigan,76.0,1.8
45,charleston southern,76.0,1.0
46,charlotte,76.0,1.4
47,chattanooga,76.0,1.9
48,chicago state,76.0,1.5
49,cincinnati,78.0,1.7
50,clemson,78.0,2.1
51,cleveland state,77.0,1.3
52,coastal carolina,76.0,1.5
53,colgate,77.0,1.5
54,college of charleston,77.0,1.2
55,colorado,78.0,1.6
56,colorado state,77.0,0.8
57,columbia,77.0,1.5
58,connecticut,78.0,1.6
59,coppin state,77.0,0.6
60,cornell,76.0,1.6
61,creighton,77.0,1.7
62,dartmouth,76.0,1.4
63,davidson,77.0,1.7
64,dayton,77.0,2.2
65,delaware,77.0,1.6
66,delaware state,76.0,1.5
67,denver,77.0,1.2
68,depaul,78.0,1.2
69,detroit-mercy,76.0,1.2
70,drake,76.0,1.3
71,drexel,76.0,1.6
72,duke,78.0,1.6
73,duquesne,77.0,1.2
74,east carolina,78.0,1.4
75,east tennessee state,77.0,1.5
76,eastern illinois,75.0,0.8
77,eastern kentucky,76.0,1.0
78,eastern michigan,78.0,1.5
79,eastern washington,77.0,1.5
80,elon,77.0,1.6
81,evansville,77.0,1.9
82,fairfield,76.0,1.5
83,fairleigh dickinson,76.0,1.4
84,florida international,77.0,1.2
85,florida,77.0,1.8
86,florida am,76.0,0.5
87,florida atlantic,78.0,1.2
88,florida gulf coast,76.0,1.7
89,florida state,79.0,1.1
90,fordham,77.0,1.4
91,fresno state,77.0,1.9
92,furman,75.0,1.7
93,gardner webb,76.0,1.0
94,george mason,76.0,1.3
95,george washington,78.0,1.3
96,georgetown,78.0,1.5
97,georgia,77.0,1.6
98,georgia southern,76.0,1.4
99,georgia state,77.0,1.8
100,georgia tech,77.0,1.8
101,gonzaga,78.0,2.0
102,grambling,75.0,1.2
103,grand canyon,76.0,1.3
104,green bay,77.0,1.8
105,hampton,76.0,1.2
106,hartford,76.0,1.3
107,harvard,77.0,1.0
108,hawaii,77.0,0.9
109,high point,76.0,1.5
110,hofstra,76.0,1.6
111,holy cross,76.0,2.2
112,houston,77.0,1.7
113,houston baptist,77.0,2.0
114,howard,77.0,2.3
115,idaho,77.0,1.5
116,idaho state,76.0,1.0
117,illinois,78.0,2.1
118,illinois chicago,77.0,0.5
119,illinois state,77.0,1.6
120,incarnate word,76.0,1.1
121,indiana,77.0,1.2
122,indiana state,76.0,1.4
123,iona,76.0,1.5
124,iowa,78.0,1.0
125,iowa state,76.0,2.5
126,ipfw,76.0,1.7
127,iupui,76.0,2.1
128,jackson state,76.0,1.5
129,jacksonville,76.0,1.6
130,jacksonville state,77.0,1.0
131,james madison,78.0,2.3
132,kansas,77.0,1.8
133,kansas state,77.0,1.4
134,kennesaw state,77.0,1.6
135,kent state,76.0,1.3
136,kentucky,77.0,0.8
137,la salle,77.0,2.0
138,lafayette,77.0,1.2
139,lamar,75.0,1.2
140,lehigh,76.0,1.6
141,liberty,76.0,1.2
142,lipscomb,76.0,1.4
143,long island university,75.0,1.5
144,long beach state,75.0,1.4
145,longwood,77.0,1.4
